Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,7,10,10,12,12,12,14,15,15
Reserves,22,58,64,67,70,78,186,232,242
Borrowings,50,73,80,107,287,266,220,219,280
  └─ Long term Borrowings,16,29,28,39,68,44,27,30,64
  └─ Short term Borrowings,30,31,37,68,48,68,62,77,92
  └─ Lease Liabilities,0,0,0,0,172,153,132,111,124
  └─ Other Borrowings,4,13,15,0,0,-0,0,0,
Other Liabilities,20,34,55,45,55,52,28,34,38
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00
  └─ Trade Payables,7.97,9.64,27.48,17.16,27.58,22.68,14.14,17.79,14.48
  └─ Advance from Customers,0.00,0.00,0.13,1.09,0.69,2.66,0.04,0.28,
  └─ Other liability items,12.42,23.91,27.84,26.67,26.55,26.45,13.96,15.69,23.25
Total Liabilities,100,175,209,230,424,408,449,499,574
Fixed Assets,22,37,39,64,238,216,230,216,219
  └─ Land,1.77,2.06,2.28,2.28,2.80,2.81,2.71,2.61,
  └─ Building,0.00,0.00,0.00,22.49,33.44,33.44,33.44,36.00,
  └─ Equipments,1.44,1.58,1.86,2.04,0.90,1.16,1.51,1.90,
  └─ Computers,0.61,0.70,0.75,0.90,0.35,0.41,0.53,0.42,
  └─ Furniture n fittings,0.55,0.65,0.70,0.78,0.56,0.64,0.65,1.17,
  └─ Railway sidings,0.00,0.00,0.00,0.00,163.55,163.55,163.55,163.55,
  └─ Vehicles,40.61,62.88,70.96,78.01,52.62,56.28,72.66,91.07,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,3.28,0.00,0.00,1.25
  └─ Other fixed assets,0.01,0.09,0.10,0.09,0.03,0.00,35.29,35.34,
  └─ Gross Block,44.99,67.96,76.65,106.59,254.25,261.57,310.34,332.06,
  └─ Accumulated Depreciation,23.38,30.49,37.38,43.06,16.37,45.40,80.55,116.10,
CWIP,4,8,16,2,0,2,0,8,14
Investments,2,9,10,10,10,10,10,11,12
Other Assets,73,120,143,154,176,179,208,264,330
  └─ Inventories,0,0,1,0,0,0,0,0,1
  └─ Trade receivables,47,70,81,84,108,123,162,205,225
    └─ Receivables over 6m,2,8,24,22,39,50,36,53,
    └─ Receivables under 6m,45,64,62,75,83,89,142,169,
    └─ Prov for Doubtful,0,-2,-4,-13,-14,-16,-17,-17,
  └─ Cash Equivalents,2,2,6,6,5,2,9,9,11
  └─ Loans n Advances,3,7,5,11,28,18,8,10,39
  └─ Other asset items,22,40,50,54,35,35,29,40,54
Total Assets,100,175,209,230,424,408,449,499,574
