Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,45,45,45,66,66,66,66,66,66,66,66,66
Reserves,1213,759,505,170,38,-108,-306,-281,-319,-335,-357,-362
Borrowings,1251,1281,1337,1252,898,505,538,414,355,355,355,333
  └─ Long term Borrowings,236,542,413,169,99,23,59,14,0,0,0,0
  └─ Short term Borrowings,644,454,577,825,498,436,478,400,355,355,355,333
  └─ Lease Liabilities,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Other Borrowings,371,285,347,258,301,46,0,0,0,0,0,
Other Liabilities,1438,1481,1297,1390,989,584,352,292,404,370,369,404
  └─ Trade Payables,1073,800,737,839,679,347,133,75,55,59,57,49
  └─ Advance from Customers,94,116,104,56,61,49,41,41,42,31,26,
  └─ Other liability items,270,564,455,495,249,188,178,177,307,281,286,355
Total Liabilities,3947,3566,3184,2877,1992,1047,649,491,506,456,433,440
Fixed Assets,811,727,638,165,142,55,36,4,3,3,2,2
  └─ Land,26.72,19.94,19.94,19.94,16.03,16.03,10.42,0.07,0.06,0.06,0.06,
  └─ Building,82.92,59.43,63.68,60.75,56.66,34.95,23.71,3.26,1.95,1.95,1.44,
  └─ Plant Machinery,52.53,22.39,23.25,14.48,14.38,3.24,1.70,0.22,0.22,0.22,0.21,
  └─ Equipments,15.97,6.57,7.10,4.87,5.04,2.06,1.09,0.00,0.00,0.00,0.00,
  └─ Computers,60.07,26.14,30.07,21.73,22.26,5.91,5.29,2.11,2.21,2.24,2.01,
  └─ Furniture n fittings,26.65,10.45,11.19,9.71,9.84,8.45,6.84,0.52,0.51,0.51,0.47,
  └─ Vehicles,6.67,5.19,4.35,2.88,1.51,0.78,0.76,0.41,0.41,0.41,0.41,
  └─ Intangible Assets,703.87,671.38,668.91,574.07,574.07,1.69,1.69,1.69,1.69,1.69,1.69,0.18
  └─ Other fixed assets,31.13,7.28,8.59,10.72,14.15,4.99,4.71,4.54,2.00,1.99,2.00,
  └─ Gross Block,1006.53,828.77,837.08,719.15,713.94,78.10,56.21,12.82,9.05,9.07,8.29,
  └─ Accumulated Depreciation,195.99,101.28,198.76,553.76,571.99,22.76,20.67,8.62,6.18,6.56,6.54,
CWIP,1,4,5,2,0,0,0,0,0,0,0,0
Investments,235,50,121,122,0,0,0,97,44,26,36,29
Other Assets,2900,2784,2420,2587,1850,992,614,390,459,427,395,409
  └─ Inventories,255,214,141,299,96,28,3,1,0,0,0,0
  └─ Trade receivables,871,1550,1293,1290,569,194,87,28,25,18,17,16
  └─ Cash Equivalents,134,218,193,133,240,78,44,67,181,132,165,185
  └─ Loans n Advances,140,58,19,31,14,13,26,-221,-73,-255,-251,12
  └─ Other asset items,1499,743,773,835,931,679,454,516,325,531,465,196
Total Assets,3947,3566,3184,2877,1992,1047,649,491,506,456,433,440
