Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,7,7,14,14,14,14,14,14,14,14,14,14
Reserves,299,312,451,598,652,625,745,825,867,735,747,531
Borrowings,0,0,19,26,188,210,219,254,232,170,142,173
  └─ Long term Borrowings,0,0,0,0,124,72,140,113,83,54,0,0
  └─ Short term Borrowings,0,0,19,26,64,102,44,108,114,93,128,144
  └─ Lease Liabilities,0,0,0,0,0,37,35,33,35,22,14,29
Other Liabilities,116,104,121,119,211,215,236,267,281,291,419,311
  └─ Non controlling int,0,0,0,0,3,4,5,5,0,0,0,0
  └─ Trade Payables,40,50,55,58,129,115,136,149,166,133,179,129
  └─ Advance from Customers,4,14,21,14,28,32,44,38,55,68,122,
  └─ Other liability items,73,40,45,48,51,64,51,74,61,89,118,182
Total Liabilities,423,422,605,757,1065,1064,1214,1361,1394,1210,1322,1029
Fixed Assets,68,77,79,82,237,318,354,355,351,327,322,171
  └─ Land,28.01,26.60,23.27,21.41,19.63,19.63,19.63,19.63,19.63,19.63,13.78,
  └─ Building,28.35,23.00,21.07,20.14,18.56,18.59,18.57,18.64,19.74,20.14,19.68,
  └─ Plant Machinery,88.38,97.68,96.20,50.20,75.70,90.68,102.87,112.50,121.58,125.14,135.71,
  └─ Equipments,0.98,6.98,3.64,3.96,4.14,4.26,4.67,5.15,5.19,5.12,5.21,
  └─ Computers,4.96,5.49,5.22,2.52,2.34,2.63,2.88,2.86,3.18,3.27,3.42,
  └─ Furniture n fittings,4.09,3.96,4.01,4.06,5.25,5.20,5.42,5.54,5.63,5.66,5.52,
  └─ Vehicles,4.79,4.67,5.34,4.40,4.77,6.96,7.02,6.54,6.57,6.67,8.49,
  └─ Intangible Assets,0.50,24.55,20.87,22.65,161.69,197.10,231.89,235.46,230.64,227.69,225.20,29.00
  └─ Other fixed assets,0.00,0.01,6.42,8.65,8.80,56.94,65.49,78.23,91.38,78.88,75.65,
  └─ Gross Block,160.06,192.94,186.04,137.99,300.88,401.99,458.44,484.55,503.54,492.20,492.66,
  └─ Accumulated Depreciation,91.69,115.45,106.61,56.20,63.50,83.64,104.90,129.79,152.89,165.43,170.78,
CWIP,0,3,0,0,6,2,0,0,0,0,0,0
Investments,242,162,292,422,458,412,484,500,527,373,440,269
Other Assets,112,180,234,252,363,332,375,506,516,510,560,589
  └─ Inventories,46,55,77,80,119,118,118,173,250,231,284,312
  └─ Trade receivables,33,47,52,62,105,121,166,208,115,168,141,151
  └─ Cash Equivalents,8,46,47,23,54,25,38,68,57,44,38,53
  └─ Loans n Advances,11,17,44,56,54,56,35,34,58,18,25,0
  └─ Other asset items,15,15,14,33,31,12,17,23,37,50,72,73
Total Assets,423,422,605,757,1065,1064,1214,1361,1394,1210,1322,1029
