Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,30,30,31,31,31,31,32,32,32,32
Reserves,163,207,254,275,308,365,406,442,507,578
Borrowings,15,65,47,51,58,94,70,108,103,130
  └─ Long term Borrowings,1,3,7,4,8,8,2,0,0,23
  └─ Short term Borrowings,14,62,39,45,45,81,63,107,99,104
  └─ Lease Liabilities,0,0,0,0,1,3,2,0,4,3
  └─ Other Borrowings,0,0,0,2,3,3,3,0,0,
Other Liabilities,52,78,77,80,89,134,149,128,225,231
  └─ Trade Payables,22,50,45,53,50,85,96,74,157,160
  └─ Advance from Customers,7,2,4,2,10,13,11,6,16,
  └─ Other liability items,22,25,28,24,29,36,43,48,51,70
Total Liabilities,260,380,408,437,486,624,657,710,867,970
Fixed Assets,123,166,172,164,175,195,313,295,308,305
  └─ Land,4.31,5.61,8.81,8.81,12.94,14.10,20.55,20.56,22.00,
  └─ Building,25.66,34.65,34.72,34.75,43.75,44.02,56.98,57.02,57.02,
  └─ Plant Machinery,114.89,154.97,166.86,167.15,185.83,213.19,329.42,333.02,360.38,
  └─ Equipments,0.08,0.12,0.13,0.13,0.14,0.28,0.32,0.36,0.41,
  └─ Computers,0.22,0.32,0.35,0.37,0.43,0.61,0.69,0.76,0.79,
  └─ Furniture n fittings,1.66,1.73,2.10,2.29,2.29,2.29,2.31,2.31,2.31,
  └─ Vehicles,3.09,3.67,3.95,4.69,4.76,5.81,6.15,6.58,6.86,
  └─ Intangible Assets,0.00,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.89
  └─ Other fixed assets,0.00,0.01,-0.02,1.39,2.15,6.14,6.40,6.45,12.21,
  └─ Gross Block,149.91,205.95,221.77,224.45,257.16,291.31,427.69,431.93,466.85,
  └─ Accumulated Depreciation,26.78,39.68,49.55,60.92,82.59,96.60,115.11,136.67,159.27,
CWIP,0,3,10,52,81,110,0,42,54,149
Investments,0,0,0,59,65,77,95,118,94,141
Other Assets,137,210,226,163,165,243,249,254,411,375
  └─ Inventories,32,82,62,62,55,92,83,63,160,136
  └─ Trade receivables,61,86,98,77,77,95,128,159,174,179
  └─ Cash Equivalents,22,19,40,1,3,13,5,1,25,1
  └─ Loans n Advances,6,4,5,5,9,10,12,9,14,5
  └─ Other asset items,15,18,20,17,20,33,22,23,38,54
Total Assets,260,380,408,437,486,624,657,710,867,970
