Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.08,39,39,39,39,39,39,39,39,39
Reserves,143,76,79,81,79,79,75,88,103,131
Borrowings,67,57,77,23,10,0,0,1,22,79
  └─ Long term Borrowings,66,57,76,23,10,0,0,0,13,67
  └─ Short term Borrowings,0,0,0,0,0,0,0,0,9,11
  └─ Lease Liabilities,0,0,0,0,0,0,0,1,1,1
  └─ Preference Capital,0,0,0,0,0,0,0,0,13,0
  └─ Other Borrowings,1,-0,0,0,0,0,0,0,-13,
Other Liabilities,4,16,17,3,21,6,67,101,146,115
  └─ Non controlling int,0,0,0,0,0,0,0,0,-0,0
  └─ Trade Payables,3,0,1,3,20,2,8,5,9,13
  └─ Advance from Customers,1,15,16,0,0,0,51,88,124,
  └─ Other liability items,1,1,0,0,0,4,8,9,14,102
Total Liabilities,215,189,212,146,149,124,182,230,311,364
Fixed Assets,0,0,13,8,8,7,7,32,26,27
  └─ Plant Machinery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.26,
  └─ Equipments,0.00,0.00,0.23,0.16,0.16,0.15,0.02,2.19,2.54,
  └─ Computers,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.48,0.71,
  └─ Furniture n fittings,0.00,0.00,0.00,0.00,0.00,0.00,0.14,4.19,4.42,
  └─ Vehicles,0.00,0.00,0.00,0.01,0.01,0.01,0.01,1.50,1.50,
  └─ Other fixed assets,0.00,0.00,13.01,7.83,8.71,7.18,7.03,24.77,23.20,
  └─ Gross Block,0.00,0.00,13.24,8.00,8.88,7.34,7.27,33.38,32.63,
  └─ Accumulated Depreciation,0.00,0.00,0.15,0.25,0.41,0.43,0.42,1.67,6.62,
CWIP,0,0,0,0,0,0,0,0,0,0
Investments,24,26,29,22,22,7,10,1,1,9
Other Assets,191,163,170,116,118,110,165,197,284,329
  └─ Inventories,82,118,124,72,62,70,99,93,197,255
  └─ Trade receivables,2,0,0,1,0,1,0,1,1,1
  └─ Cash Equivalents,0,0,3,1,0,1,12,30,9,7
  └─ Loans n Advances,77,42,37,33,35,39,49,52,70,33
  └─ Other asset items,29,2,6,10,20,1,5,22,6,32
Total Assets,215,189,212,146,149,124,182,230,311,364
