Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Equity Capital,136,136,14,14,14
Reserves,145,142,154,202,317
Borrowings,4,4,5,5,5
  └─ Other Borrowings,4.36,4.28,4.69,4.69,4.59
Other Liabilities,353,423,557,579,550
  └─ Non controlling int,0,0,4,4,0
  └─ Trade Payables,240,273,306,362,369
  └─ Other liability items,113,150,247,213,181
Total Liabilities,638,706,729,799,885
Fixed Assets,164,168,210,249,254
  └─ Land,5,5,5,5,4
  └─ Building,113,107,117,142,142
  └─ Plant Machinery,187,198,259,273,288
  └─ Furniture n fittings,37,40,44,36,36
  └─ Vehicles,0,0,0,0,0
  └─ Intangible Assets,91,91,91,91,91
  └─ Gross Block,433,441,518,546,561
  └─ Accumulated Depreciation,269,273,308,297,307
CWIP,9,24,31,8,6
Investments,145,130,65,35,20
Other Assets,319,383,424,507,604
  └─ Inventories,76,80,86,90,111
  └─ Trade receivables,7,9,9,11,10
  └─ Cash Equivalents,89,115,148,253,348
  └─ Loans n Advances,11,16,4,4,5
  └─ Other asset items,137,163,176,148,131
Total Assets,638,706,729,799,885
