Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,14,14,14,14,14,14,14,14,14,14,14
Reserves,192,223,256,281,289,292,290,281,269,274,327
Borrowings,74,52,30,25,22,52,110,152,162,175,207
  └─ Long term Borrowings,44,28,16,13,12,45,79,80,74,62,41
  └─ Short term Borrowings,14,8,1,4,10,8,29,71,86,104,160
  └─ Lease Liabilities,-0,-0,-0,-0,-0,-0,2,1,3,9,7
  └─ Other Borrowings,16,16,12,8,0,-0,-0,-0,-0,-0,
Other Liabilities,48,64,87,95,80,85,86,102,110,105,193
  └─ Trade Payables,22,24,32,40,42,48,49,63,57,67,100
  └─ Advance from Customers,8,11,2,16,8,8,12,14,22,8,
  └─ Other liability items,18,28,53,39,31,29,26,24,31,30,93
Total Liabilities,328,353,386,415,406,443,500,548,556,568,741
Fixed Assets,217,197,211,237,230,244,284,319,313,316,321
  └─ Land,20.10,16.19,17.64,21.58,21.59,21.59,22.25,22.25,22.25,22.25,
  └─ Building,67.96,57.47,73.02,92.93,94.21,94.79,113.91,124.68,128.46,134.99,
  └─ Plant Machinery,167.15,105.68,120.35,141.40,151.85,178.11,207.92,249.77,263.40,276.12,
  └─ Equipments,51.00,2.19,2.92,21.92,23.57,33.90,48.83,55.95,61.98,70.86,
  └─ Computers,3.91,1.92,2.71,3.21,3.57,3.89,4.73,5.57,5.84,7.89,
  └─ Furniture n fittings,4.84,3.57,4.29,6.49,7.11,7.31,8.49,10.28,10.61,11.07,
  └─ Vehicles,13.15,11.29,12.76,11.41,10.63,10.38,9.65,9.18,10.30,10.71,
  └─ Intangible Assets,16.77,7.22,8.10,9.65,11.95,13.80,15.32,15.90,18.58,21.25,15.18
  └─ Other fixed assets,2.65,15.57,18.50,2.45,4.51,5.23,5.59,7.40,7.09,7.50,
  └─ Gross Block,347.53,221.10,260.29,311.04,328.99,369.00,436.69,500.98,528.51,562.64,
  └─ Accumulated Depreciation,130.28,23.98,49.29,73.82,98.77,125.12,152.39,182.18,215.52,246.39,
CWIP,1,3,12,2,8,20,21,11,17,27,43
Investments,2,49,49,49,48,46,46,42,43,44,96
Other Assets,108,103,115,127,119,133,148,177,183,181,281
  └─ Inventories,39,23,32,45,50,45,56,76,69,61,97
  └─ Trade receivables,40,49,55,57,40,60,56,65,67,73,104
  └─ Cash Equivalents,1,2,1,1,6,2,1,1,2,2,3
  └─ Loans n Advances,10,14,7,5,5,5,8,5,5,7,6
  └─ Other asset items,18,15,19,19,18,21,27,30,39,39,73
Total Assets,328,353,386,415,406,443,500,548,556,568,741
