Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,1,1,1,5,5,5,5,5,10,10,10,10
Reserves,5,5,6,13,16,17,17,18,13,-40,-30,2
Borrowings,15,17,16,18,30,31,33,32,33,28,18,0
  └─ Long term Borrowings,0.00,9.18,8.05,6.81,10.14,7.59,11.33,7.70,6.40,3.33,1.20,0.00
  └─ Short term Borrowings,0.00,6.95,7.26,7.53,15.62,18.76,21.76,24.53,26.42,24.74,16.59,0.00
  └─ Other Borrowings,14.96,0.54,0.87,3.20,4.47,4.41,0.00,-0.01,-0.01,0.00,0.01,
Other Liabilities,3,3,5,7,7,9,10,19,23,12,7,0
  └─ Trade Payables,1.78,1.70,2.71,4.13,4.24,5.31,5.54,14.61,19.72,6.42,6.06,0.05
  └─ Advance from Customers,0.02,0.17,0.06,0.01,0.09,0.06,0.08,0.39,0.17,0.62,0.02,
  └─ Other liability items,1.43,1.55,2.00,2.98,2.89,3.22,4.16,3.58,3.29,5.04,0.74,0.37
Total Liabilities,24,26,28,43,58,61,65,74,79,10,5,13
Fixed Assets,14,15,16,15,22,27,26,25,25,3,3,3
  └─ Land,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,2.10,
  └─ Building,5.32,5.32,4.96,5.47,5.47,10.74,10.74,10.83,10.83,0.02,0.02,
  └─ Plant Machinery,8.35,9.81,11.14,11.18,19.27,21.15,21.59,21.94,23.53,1.20,0.99,
  └─ Equipments,0.00,0.00,0.48,0.02,0.01,0.01,0.07,0.09,0.09,0.09,0.09,
  └─ Computers,0.04,0.04,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,
  └─ Furniture n fittings,0.01,0.01,0.01,0.01,0.03,0.04,0.04,0.07,0.07,0.00,0.00,
  └─ Vehicles,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01,0.01,
  └─ Other fixed assets,0.00,0.00,0.00,0.05,-0.01,0.00,0.00,-0.01,0.00,0.00,-0.01,
  └─ Gross Block,15.88,17.34,18.79,18.93,26.97,34.14,34.60,35.08,36.68,3.42,3.20,
  └─ Accumulated Depreciation,1.45,2.22,3.04,3.94,5.07,6.65,8.34,9.92,11.63,0.54,0.58,
CWIP,0,0,0,7,6,0,0,1,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,10,11,12,21,30,33,38,48,53,6,2,10
  └─ Inventories,5.84,6.97,8.48,12.02,18.55,19.36,22.32,27.22,31.72,2.27,0.71,0.66
  └─ Trade receivables,3.20,2.99,2.54,4.11,5.89,9.14,11.91,13.20,17.44,1.29,0.21,0.30
    └─ Receivables over 6m,0.01,0.00,0.10,0.08,0.14,0.22,0.50,0.00,0.00,1.27,0.21,
    └─ Receivables under 6m,3.19,2.99,2.44,4.03,5.76,8.92,11.42,13.20,17.44,0.02,0.00,
  └─ Cash Equivalents,0.16,0.27,0.48,0.69,1.28,1.23,1.46,1.23,0.68,0.23,0.02,5.51
  └─ Loans n Advances,0.03,0.23,0.18,0.03,0.73,0.94,1.09,1.17,1.27,0.06,0.01,3.48
  └─ Other asset items,0.34,0.37,0.60,4.23,3.78,2.58,1.70,4.74,2.28,2.47,0.99,0.04
Total Assets,24,26,28,43,58,61,65,74,79,10,5,13
