Metric,Mar 2024,Mar 2025,Sep 2025
Equity Capital,6,8,8
Reserves,12,42,49
Borrowings,16,16,33
  └─ Long term Borrowings,1.10,0.46,2.37
  └─ Short term Borrowings,14.62,15.38,30.47
  └─ Other Borrowings,0.01,0.01,
Other Liabilities,25,90,63
  └─ Trade Payables,22,85,55
  └─ Advance from Customers,1,1,
  └─ Other liability items,2,3,7
Total Liabilities,59,156,153
Fixed Assets,1,7,6
  └─ Equipments,0.48,0.65,
  └─ Computers,0.09,0.10,
  └─ Furniture n fittings,0.23,0.25,
  └─ Vehicles,1.51,4.23,
  └─ Intangible Assets,0.00,0.00,2.93
  └─ Other fixed assets,0.00,3.79,
  └─ Gross Block,2.31,9.02,
  └─ Accumulated Depreciation,1.32,1.87,
CWIP,0,0,0
Investments,0,4,5
Other Assets,58,145,142
  └─ Inventories,9,4,7
  └─ Trade receivables,45,132,107
  └─ Cash Equivalents,1,3,11
  └─ Loans n Advances,1,4,15
  └─ Other asset items,1,1,2
Total Assets,59,156,153
