Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Equity Capital,7.12,7.12,7.12,7.12,7.12,7.12
Reserves,-2.12,-7.36,-3.72,1.77,2.35,4.68
Borrowings,31.45,30.97,33.20,35.59,33.82,32.28
  └─ Long term Borrowings,18.20,15.56,12.63,10.00,8.48,6.92
  └─ Short term Borrowings,11.97,13.77,19.86,24.82,24.16,25.36
  └─ Other Borrowings,1.28,1.64,0.71,0.77,1.18,
Other Liabilities,20.17,21.63,23.87,14.10,16.02,13.75
  └─ Trade Payables,4.41,5.45,3.33,2.12,3.80,1.20
  └─ Advance from Customers,0.00,0.00,0.00,0.28,0.28,
  └─ Other liability items,15.76,16.18,20.54,11.70,11.94,12.55
Total Liabilities,56.62,52.36,60.47,58.58,59.31,57.83
Fixed Assets,9.84,9.21,6.40,5.03,4.72,4.94
  └─ Land,3.60,3.60,1.03,0.03,0.03,
  └─ Building,1.62,1.62,1.62,0.64,0.64,
  └─ Plant Machinery,4.56,4.09,4.80,5.47,5.33,
  └─ Computers,0.01,0.01,0.01,0.01,0.01,
  └─ Vehicles,0.27,0.27,0.20,0.20,0.20,
  └─ Other fixed assets,0.01,0.00,0.02,0.02,0.02,
  └─ Gross Block,10.07,9.59,7.68,6.37,6.23,
  └─ Accumulated Depreciation,0.23,0.38,1.27,1.34,1.51,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.02,0.00,0.00,0.00,0.00,0.00
Other Assets,46.76,43.15,54.07,53.55,54.59,52.89
  └─ Inventories,23.43,23.41,26.89,26.98,33.89,34.80
  └─ Trade receivables,1.82,1.34,0.00,0.07,0.12,0.10
    └─ Receivables over 6m,0.48,0.17,0.41,0.28,0.27,
    └─ Receivables under 6m,1.37,1.34,0.00,0.07,0.12,
    └─ Prov for Doubtful,-0.04,-0.17,-0.41,-0.28,-0.27,
  └─ Cash Equivalents,0.68,0.76,0.66,0.22,0.04,0.05
  └─ Loans n Advances,0.20,0.16,12.42,20.49,15.07,0.76
  └─ Other asset items,20.63,17.48,14.10,5.79,5.47,17.18
Total Assets,56.62,52.36,60.47,58.58,59.31,57.83
