Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Equity Capital,7,7,7,7,7,7,7,7,7,7,7,7
Reserves,841,849,978,1041,1129,1165,1305,1571,1785,2182,2558,3026
Borrowings,0,0,0,0,3,3,0,132,83,47,250,297
  └─ Long term Borrowings,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Short term Borrowings,0,0,0,0,2,3,0,0,0,0,0,0
  └─ Lease Liabilities,0,0,0,0,0,0,0,132,83,47,250,297
  └─ Other Borrowings,0,0,0,0,0,0,0,0,0,0,0,0
Other Liabilities,416,475,400,446,495,514,895,793,956,1061,1127,1252
  └─ Trade Payables,39,35,43,57,65,75,105,134,142,143,176,146
  └─ Advance from Customers,0,0,0,3,4,4,6,0,0,0,0,0
  └─ Other liability items,378,440,357,387,426,435,784,660,814,918,951,1106
Total Liabilities,1265,1331,1385,1495,1634,1689,2207,2504,2831,3297,3942,4582
Fixed Assets,432,413,309,293,350,349,763,661,619,635,976,1440
  └─ Building,99,86,32,33,35,35,308,265,280,170,474,537
  └─ Equipments,38,37,16,17,18,18,20,17,17,18,40,41
  └─ Computers,79,85,35,49,58,66,122,134,147,142,142,151
  └─ Furniture n fittings,21,21,9,10,11,10,19,18,17,7,16,15
  └─ Vehicles,6,6,5,6,9,8,6,6,9,11,12,15
  └─ Intangible Assets,341,341,242,251,296,311,438,414,425,468,473,731
  └─ Other fixed assets,33,33,22,28,69,79,260,274,302,331,350,601
  └─ Gross Block,616,608,361,393,497,527,1172,1129,1198,1146,1506,2092
  └─ Accumulated Depreciation,184,196,53,100,147,178,410,468,579,512,531,652
CWIP,0,3,4,13,7,12,14,5,14,31,55,30
Investments,375,383,465,525,477,453,476,645,683,1056,1454,1180
Other Assets,458,532,607,663,800,875,955,1193,1515,1576,1457,1932
  └─ Trade receivables,141,196,207,260,285,199,307,541,759,672,550,687
    └─ Receivables over 6m,21,26,0,0,0,0,0,41,47,20,26,45
    └─ Receivables under 6m,135,186,227,285,325,223,328,522,736,671,541,653
    └─ Prov for Doubtful,-15,-16,-20,-24,-40,-24,-21,-21,-24,-19,-17,-11
  └─ Cash Equivalents,155,152,177,132,207,346,279,294,321,370,304,323
  └─ Loans n Advances,8,13,22,32,29,34,28,47,59,91,88,82
  └─ Other asset items,155,172,201,239,278,296,340,310,376,442,515,840
Total Assets,1265,1331,1385,1495,1634,1689,2207,2504,2831,3297,3942,4582
