Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4.94,7.06,7.06,7.06,10.59,10.59,10.59,15.89,15.89
Reserves,12.56,18.19,17.66,17.94,16.79,18.28,18.94,15.57,19.22
Borrowings,-0.01,1.10,2.36,1.11,0.65,2.69,4.15,5.64,5.62
  └─ Long term Borrowings,0.00,1.10,0.62,0.23,0.00,0.00,0.00,0.00,0.00
  └─ Short term Borrowings,0.00,0.00,1.74,0.88,0.65,2.66,4.11,5.58,5.60
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.06,0.02
  └─ Other Borrowings,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Other Liabilities,2.26,1.97,2.80,2.55,4.02,5.11,7.28,5.70,9.90
  └─ Non controlling int,0.00,-0.03,-0.06,-0.07,0.00,-0.01,0.00,0.04,-0.04
  └─ Trade Payables,0.48,0.94,1.77,1.40,2.20,4.11,5.50,4.17,6.66
  └─ Advance from Customers,0.00,0.00,0.00,0.02,0.03,0.01,0.30,0.25,
  └─ Other liability items,1.78,1.06,1.09,1.20,1.79,1.00,1.48,1.24,3.28
Total Liabilities,19.75,28.32,29.88,28.66,32.05,36.67,40.96,42.80,50.63
Fixed Assets,4.68,5.06,5.27,5.01,5.10,4.91,5.07,5.05,4.47
  └─ Land,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,
  └─ Building,1.97,2.25,2.32,2.34,2.34,2.03,2.11,2.11,
  └─ Plant Machinery,1.62,1.66,1.73,1.74,1.93,1.54,2.02,1.99,
  └─ Equipments,0.79,0.52,0.46,0.46,0.65,0.43,0.47,0.62,
  └─ Computers,0.56,0.68,0.34,0.36,0.42,0.19,0.14,0.17,
  └─ Furniture n fittings,0.84,0.95,0.93,0.97,1.05,0.25,0.26,0.28,
  └─ Vehicles,0.49,0.48,0.34,0.34,0.34,0.07,0.07,0.27,
  └─ Other fixed assets,1.29,1.61,1.61,1.63,1.39,0.63,0.63,0.63,
  └─ Gross Block,7.74,8.33,7.91,8.02,8.30,5.32,5.88,6.25,
  └─ Accumulated Depreciation,3.06,3.27,2.64,3.02,3.20,0.42,0.80,1.20,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.15
Investments,4.41,6.42,8.47,6.62,8.13,10.60,14.00,12.69,10.11
Other Assets,10.66,16.84,16.14,17.03,18.82,21.16,21.89,25.01,35.90
  └─ Inventories,3.89,2.54,2.90,2.17,2.76,5.13,7.74,10.80,10.83
  └─ Trade receivables,3.45,5.08,4.65,6.39,7.18,10.56,9.48,5.89,16.36
    └─ Receivables over 6m,0.70,0.65,0.78,1.36,1.71,2.15,2.31,1.07,
    └─ Receivables under 6m,2.75,4.44,3.87,5.03,5.47,8.84,8.44,5.73,
    └─ Prov for Doubtful,0.00,0.00,0.00,0.00,0.00,-0.44,-1.27,-0.92,
  └─ Cash Equivalents,3.52,4.20,0.77,1.05,1.20,1.37,2.34,2.38,3.45
  └─ Loans n Advances,0.05,0.41,1.01,0.91,0.66,1.87,0.47,2.54,1.20
  └─ Other asset items,-0.25,4.61,6.81,6.51,7.02,2.23,1.86,3.40,4.06
Total Assets,19.75,28.32,29.88,28.66,32.05,36.67,40.96,42.80,50.63
