Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,6,4,4,4,34,34,34,46,46,46
Reserves,-6,-0,-0,27,-15,-10,12,22,27,30
Borrowings,0,0,0,14,16,19,79,113,137,146
  └─ Long term Borrowings,,0,0,7,8,7,29,67,65,101
  └─ Short term Borrowings,,2,2,7,7,11,33,41,72,45
  └─ Lease Liabilities,,0,0,0,0,1,7,5,0,0
  └─ Preference Capital,0,0,0,0,0,0,9,0,0,0
  └─ Other Borrowings,0,-2,-2,0,0,0,0,-0,0,
Other Liabilities,1,6,9,7,5,8,31,54,58,52
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.36,0.41,-6.73,9.05,27.41,28.00
  └─ Trade Payables,0.02,2.60,4.49,6.26,3.34,5.82,22.74,37.39,23.58,17.02
  └─ Advance from Customers,0.00,0.46,1.88,0.20,0.00,0.00,0.00,1.22,0.12,
  └─ Other liability items,1.04,3.02,2.46,0.45,1.10,2.20,14.66,6.60,7.23,7.43
Total Liabilities,1,10,12,51,40,51,156,234,268,274
Fixed Assets,1,6,6,17,15,17,57,62,58,62
  └─ Land,0.00,0.00,0.00,10.37,7.85,8.40,8.40,8.83,8.83,
  └─ Building,1.46,0.00,0.00,0.00,2.75,11.76,11.90,21.78,22.63,
  └─ Plant Machinery,0.19,0.00,0.00,2.84,1.23,27.61,30.61,34.31,38.57,
  └─ Equipments,0.11,0.01,0.01,0.14,0.35,0.31,0.35,0.24,0.91,
  └─ Computers,0.00,0.06,0.06,0.02,0.73,2.37,3.66,4.52,4.48,
  └─ Furniture n fittings,0.06,0.00,0.00,0.04,0.09,2.46,2.77,2.80,2.85,
  └─ Vehicles,0.01,0.01,0.01,1.12,0.00,0.00,0.00,0.00,0.00,
  └─ Intangible Assets,0.00,3.50,3.50,3.84,3.84,3.84,23.35,23.35,23.35,23.35
  └─ Other fixed assets,0.00,2.51,2.57,0.01,0.01,1.44,7.82,5.81,0.02,
  └─ Gross Block,1.83,6.09,6.15,18.38,16.85,58.19,88.86,101.64,101.64,
  └─ Accumulated Depreciation,0.99,0.28,0.56,1.01,1.47,41.68,31.38,39.22,43.96,
CWIP,-0,0,0,14,14,13,14,20,26,23
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,0,4,7,21,11,22,85,151,184,189
  └─ Inventories,0,0,0,5,1,2,12,42,41,43
  └─ Trade receivables,0,3,4,7,5,14,30,40,59,62
  └─ Cash Equivalents,0,0,1,1,1,2,3,1,0,5
  └─ Loans n Advances,0,1,1,0,1,0,3,8,11,29
  └─ Other asset items,0,0,0,7,3,4,36,60,73,50
Total Assets,1,10,12,51,40,51,156,234,268,274
