Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,17,23,23
Reserves,18,66,80
Borrowings,15,3,3
  └─ Long term Borrowings,3.17,1.78,1.59
  └─ Short term Borrowings,11.36,1.04,1.90
  └─ Other Borrowings,0.00,-0.01,
Other Liabilities,13,9,12
  └─ Trade Payables,8.22,3.60,2.63
  └─ Advance from Customers,0.82,1.00,
  └─ Other liability items,3.88,4.32,9.76
Total Liabilities,63,101,119
Fixed Assets,22,25,38
  └─ Land,3.81,7.49,
  └─ Building,4.50,4.58,
  └─ Plant Machinery,12.18,10.21,
  └─ Equipments,1.32,1.36,
  └─ Computers,0.04,0.04,
  └─ Furniture n fittings,0.64,0.74,
  └─ Vehicles,1.71,3.67,
  └─ Other fixed assets,0.19,0.32,
  └─ Gross Block,24.39,28.41,
  └─ Accumulated Depreciation,2.85,3.75,
CWIP,0,9,6
Investments,0,0,0
Other Assets,41,67,75
  └─ Inventories,18.52,33.45,39.81
  └─ Trade receivables,14.60,12.54,19.03
  └─ Cash Equivalents,1.99,12.23,1.98
  └─ Loans n Advances,1.88,2.14,4.69
  └─ Other asset items,4.22,6.48,9.26
Total Assets,63,101,119
