Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,42,44,44,44,44,44,44,44,44,44,44,44,24
Reserves,1633,1731,2172,2322,2433,2213,1811,2598,3789,4164,3951,4074,4059
Borrowings,1560,1870,1953,2036,1036,1112,1426,916,1206,4085,4468,4420,3444
  └─ Long term Borrowings,950,1229,1226,1093,484,681,949,569,671,3291,3132,3179,2777
  └─ Short term Borrowings,426,483,532,551,341,246,270,347,532,792,1298,1236,663
  └─ Lease Liabilities,0,0,0,0,0,0,0,0,2,2,38,5,4
  └─ Preference Capital,0,0,0,0,0,0,0,0,0,1813,1813,1999,0
  └─ Other Borrowings,184,158,195,392,211,185,207,0,-0,-1813,-1813,-1999,
Other Liabilities,2377,2166,2498,2594,926,1211,1104,1260,1535,1247,1938,2251,2966
  └─ Non controlling int,425,468,699,727,0,0,0,0,0,0,0,0,-6
  └─ Trade Payables,757,636,597,711,235,266,253,271,285,179,368,522,340
  └─ Advance from Customers,36,64,71,60,55,0,0,0,0,126,161,176,
  └─ Other liability items,1159,998,1131,1095,637,945,851,989,1250,942,1409,1553,2632
Total Liabilities,5613,5812,6668,6996,4439,4581,4384,4818,6574,9539,10401,10789,10492
Fixed Assets,2785,2454,3014,3109,1786,2060,2362,2466,2636,3050,3223,3132,2357
  └─ Land,145.47,127.38,139.04,122.58,7.79,8.77,7.57,19.25,19.25,23.34,81.66,19.55,
  └─ Building,653.01,634.94,627.96,612.84,322.69,375.81,432.28,477.35,521.76,728.36,836.42,840.44,
  └─ Plant Machinery,2950.42,2883.60,2427.46,2709.57,1704.16,1998.50,2353.61,2509.55,2783.87,3175.80,3623.48,4141.25,
  └─ Equipments,4.61,5.78,3.51,3.88,3.43,3.98,4.24,4.68,4.87,6.06,19.12,13.43,
  └─ Computers,51.47,54.08,45.51,32.61,4.24,5.44,6.21,7.51,9.97,10.04,11.69,12.22,
  └─ Furniture n fittings,4.44,7.60,5.01,4.94,2.42,2.61,2.77,3.24,4.08,12.20,13.65,13.88,
  └─ Vehicles,5.93,8.39,4.56,4.83,4.49,5.92,6.27,8.78,11.88,13.87,13.85,13.00,
  └─ Intangible Assets,3.79,3.97,3.38,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.29
  └─ Other fixed assets,17.42,16.95,9.32,101.39,3.02,3.40,8.87,8.82,8.81,9.91,83.66,203.79,
  └─ Gross Block,3836.56,3742.69,3265.75,3595.94,2052.24,2404.43,2821.82,3039.18,3364.49,3979.58,4683.53,5257.56,
  └─ Accumulated Depreciation,1051.73,1288.50,251.29,487.42,266.05,344.58,459.51,573.29,728.65,929.60,1460.20,2125.88,
CWIP,130,540,389,316,15,31,182,25,77,92,203,302,336
Investments,215,544,727,901,1542,1390,440,480,1318,3640,3894,4093,3559
Other Assets,2483,2274,2537,2670,1096,1100,1400,1847,2543,2757,3080,3262,4242
  └─ Inventories,1132,963,1109,1159,429,494,590,714,907,1009,1147,1166,956
  └─ Trade receivables,865,703,732,664,151,145,127,104,209,248,355,410,149
    └─ Receivables over 6m,18,19,0,0,0,0,0,3,3,12,20,24,
    └─ Receivables under 6m,862,691,741,670,151,145,127,101,206,240,344,398,
    └─ Prov for Doubtful,-15,-7,-9,-6,0,-1,0,0,0,-5,-10,-12,
  └─ Cash Equivalents,137,125,158,107,88,60,275,314,120,61,116,71,57
  └─ Loans n Advances,36,30,95,293,173,59,143,148,175,516,198,190,49
  └─ Other asset items,313,452,443,447,255,343,265,567,1131,923,1265,1425,3029
Total Assets,5613,5812,6668,6996,4439,4581,4384,4818,6574,9539,10401,10789,10492
