Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,2,2,17,23,23
Reserves,5,10,18,15,67,75
Borrowings,10,10,18,23,33,120
  └─ Long term Borrowings,8,8,9,12,14,88
  └─ Short term Borrowings,1,2,9,11,19,33
  └─ Other Borrowings,0,0,0,-0,0,
Other Liabilities,19,17,16,22,29,55
  └─ Non controlling int,0.23,1.43,2.93,5.16,6.69,8.86
  └─ Trade Payables,17.15,12.70,8.28,9.37,9.34,10.94
  └─ Advance from Customers,0.24,1.06,1.58,0.49,1.37,
  └─ Other liability items,1.62,2.08,3.25,6.90,11.60,34.96
Total Liabilities,36,39,54,77,151,272
Fixed Assets,13,14,18,23,64,179
  └─ Building,0.00,0.00,3.41,3.41,8.13,
  └─ Plant Machinery,13.28,15.65,17.03,20.49,58.16,
  └─ Equipments,0.04,0.12,0.27,0.29,0.29,
  └─ Computers,0.21,0.30,0.35,0.47,0.64,
  └─ Furniture n fittings,0.10,0.10,0.44,1.74,1.75,
  └─ Vehicles,1.24,1.68,1.68,2.73,2.73,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.94
  └─ Other fixed assets,0.14,0.17,0.20,0.19,0.20,
  └─ Gross Block,15.01,18.02,23.38,29.32,71.90,
  └─ Accumulated Depreciation,2.49,3.68,5.02,6.75,8.16,
CWIP,0,0,0,1,1,0
Investments,1,1,3,4,5,7
Other Assets,22,23,33,50,81,86
  └─ Trade receivables,20,20,26,42,68,70
    └─ Receivables over 6m,1.26,2.94,2.67,3.13,27.24,
    └─ Receivables under 6m,18.37,17.43,22.86,38.47,40.68,
  └─ Cash Equivalents,1,1,4,3,4,7
  └─ Loans n Advances,0,0,1,2,4,8
  └─ Other asset items,2,2,3,3,5,1
Total Assets,36,39,54,77,151,272
