Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,12,12,60
Reserves,80,109,75
Borrowings,2,6,7
  └─ Long term Borrowings,2.48,1.49,1.49
  └─ Short term Borrowings,0.03,4.50,5.40
  └─ Other Borrowings,-0.01,0.00,
Other Liabilities,17,36,47
  └─ Non controlling int,-0.00,14.66,11.64
  └─ Trade Payables,8.16,13.83,18.22
  └─ Advance from Customers,1.44,2.16,
  └─ Other liability items,7.28,5.24,17.46
Total Liabilities,112,162,188
Fixed Assets,0,46,44
  └─ Land,0.32,0.00,
  └─ Computers,0.06,0.00,
  └─ Vehicles,0.11,0.00,
  └─ Intangible Assets,0.00,0.00,4.33
  └─ Other fixed assets,0.00,46.34,
  └─ Gross Block,0.49,46.34,
  └─ Accumulated Depreciation,0.30,0.00,
CWIP,11,15,20
Investments,22,0,0
Other Assets,78,100,123
  └─ Inventories,10,16,23
  └─ Trade receivables,66,82,98
  └─ Cash Equivalents,0,0,0
  └─ Loans n Advances,2,0,2
  └─ Other asset items,0,2,0
Total Assets,112,162,188
