Metric,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,39,39,39,39,39,39,39,39,39,39,39,0.00
Reserves,-427,-426,292,302,342,257,331,345,345,371,453,0
Borrowings,504,482,244,143,239,488,276,417,383,568,419,0
  └─ Long term Borrowings,90.94,245.57,141.25,97.04,175.86,194.40,74.58,40.70,7.20,0.00,0.00,0.00
  └─ Short term Borrowings,197.70,48.41,1.57,1.57,1.57,166.45,201.50,375.29,374.78,567.53,418.13,0.00
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,1.04,0.59,1.02,0.00
  └─ Other Borrowings,215.63,187.86,101.11,44.21,61.94,127.61,0.00,0.00,0.00,0.00,0.00,
Other Liabilities,818,958,588,622,788,689,735,250,266,200,185,0
  └─ Non controlling int,0.00,0.00,0.12,0.13,0.13,0.12,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Trade Payables,655.49,716.37,430.04,544.15,674.52,592.69,657.49,186.21,202.65,151.68,135.02,0.00
  └─ Advance from Customers,3.90,4.93,49.55,3.45,2.69,9.05,3.69,1.77,2.24,2.03,2.12,
  └─ Other liability items,158.17,236.65,108.10,73.77,110.23,87.01,73.37,62.19,60.99,46.51,47.76,0.00
Total Liabilities,934,1053,1163,1105,1408,1474,1380,1051,1033,1179,1096,0
Fixed Assets,474,441,321,313,296,298,232,212,197,204,198,0
  └─ Land,26.96,27.41,25.34,25.34,25.34,25.34,19.17,18.84,13.75,13.75,13.69,
  └─ Building,87.04,89.07,57.44,60.49,60.28,66.57,63.50,72.66,76.60,78.25,78.69,
  └─ Plant Machinery,940.97,943.57,260.57,272.03,285.75,342.05,304.79,313.84,334.03,372.13,388.70,
  └─ Equipments,10.03,9.44,1.11,1.54,1.84,5.07,2.38,2.59,3.64,4.28,5.09,
  └─ Furniture n fittings,4.09,3.16,0.18,0.24,0.28,0.30,0.28,0.44,0.47,0.53,0.68,
  └─ Vehicles,1.29,1.29,0.55,0.57,0.92,0.92,1.03,0.28,0.28,0.28,0.28,
  └─ Intangible Assets,13.53,13.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.68,0.00
  └─ Other fixed assets,-0.02,0.00,0.00,0.00,0.00,0.25,1.40,1.30,1.30,1.30,1.48,
  └─ Gross Block,1083.89,1087.47,345.19,360.21,374.41,440.50,392.55,409.95,430.07,470.52,497.29,
  └─ Accumulated Depreciation,610.25,646.57,24.59,47.23,78.22,142.67,160.82,198.22,232.88,266.71,298.97,
CWIP,1,3,4,8,8,1,13,3,16,1,0,0
Investments,0,0,0,0,15,13,10,4,3,3,0,0
Other Assets,460,609,838,784,1089,1161,1126,832,817,972,897,0
  └─ Inventories,313.35,441.44,472.07,469.49,792.17,853.58,804.70,700.01,687.75,877.92,821.13,0.00
  └─ Trade receivables,51.35,72.49,41.30,51.14,37.29,48.75,38.73,38.86,32.54,39.21,33.63,0.00
  └─ Cash Equivalents,44.00,46.45,61.32,70.23,47.78,62.62,99.07,46.04,39.15,24.97,23.14,0.00
  └─ Loans n Advances,4.34,3.69,3.54,4.18,4.06,4.08,3.31,2.26,2.30,2.89,2.52,0.00
  └─ Other asset items,46.53,45.39,259.47,188.69,207.65,192.31,180.53,45.28,55.63,26.55,16.92,0.00
Total Assets,934,1053,1163,1105,1408,1474,1380,1051,1033,1179,1096,0
