Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,9,9,9,9,9,9,9,9
Reserves,332,360,372,435,492,539,543,600,664
Borrowings,31,22,1,3,22,19,11,6,75
  └─ Long term Borrowings,19,0,0,0,15,10,5,0,66
  └─ Short term Borrowings,0,2,0,2,7,9,5,5,8
  └─ Lease Liabilities,0,0,1,1,1,1,1,1,1
  └─ Other Borrowings,12,20,0,0,0,0,0,0,
Other Liabilities,82,69,61,82,67,64,72,102,124
  └─ Trade Payables,39,37,35,45,36,28,27,30,53
  └─ Advance from Customers,2,1,3,2,3,5,3,4,
  └─ Other liability items,41,31,23,35,28,31,42,67,72
Total Liabilities,454,461,444,530,590,632,636,717,872
Fixed Assets,135,135,123,120,145,131,148,141,246
  └─ Land,12.67,15.12,15.79,15.79,15.79,15.84,19.45,19.58,
  └─ Building,23.69,25.74,25.77,31.22,34.79,35.71,45.32,45.92,
  └─ Plant Machinery,135.66,147.50,150.78,156.16,194.05,197.30,217.30,227.19,
  └─ Equipments,1.59,1.96,2.33,2.67,3.16,3.57,3.85,3.84,
  └─ Furniture n fittings,0.56,0.84,1.01,1.15,1.30,1.45,2.05,2.17,
  └─ Vehicles,1.48,1.58,1.54,1.72,1.74,1.91,2.19,1.92,
  └─ Other fixed assets,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.02,
  └─ Gross Block,175.67,192.74,197.22,208.71,250.83,255.78,290.16,300.64,
  └─ Accumulated Depreciation,40.57,58.13,74.31,89.13,106.05,124.31,142.41,159.46,
CWIP,6,2,4,11,2,7,1,8,4
Investments,131,113,101,60,101,110,119,134,137
Other Assets,182,211,215,339,342,383,368,434,486
  └─ Inventories,65,65,88,67,65,100,121,107,162
  └─ Trade receivables,63,59,66,106,68,52,80,91,94
  └─ Cash Equivalents,15,46,19,104,162,173,112,188,185
  └─ Loans n Advances,9,13,9,10,15,20,16,16,3
  └─ Other asset items,29,28,33,53,31,38,40,32,42
Total Assets,454,461,444,530,590,632,636,717,872
