Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2023
Equity Capital,0.68,0.68,0.68,10.44,10.44,10.44,12.94,13.82,13.82,13.82,
Reserves,1.34,3.70,7.30,17.86,15.39,13.85,18.38,26.81,29.34,32.44,
Borrowings,16.86,18.83,23.15,20.46,23.88,27.53,27.00,21.70,13.04,14.06,
  └─ Long term Borrowings,6.29,6.28,10.29,7.93,12.42,21.53,20.00,14.92,7.07,8.45,20.00
  └─ Short term Borrowings,10.02,11.69,9.92,9.95,11.46,6.00,7.00,6.77,5.97,5.61,7.00
  └─ Other Borrowings,0.55,0.86,2.94,2.58,0.00,0.00,0.00,0.01,0.00,,
Other Liabilities,3.95,10.07,5.67,5.31,8.41,10.70,14.52,9.91,25.45,27.71,
  └─ Trade Payables,2.62,8.16,2.86,3.21,6.96,5.10,12.38,7.78,20.94,20.36,12.38
  └─ Advance from Customers,0.46,0.12,0.62,0.14,0.05,0.17,0.45,0.47,1.33,,
  └─ Other liability items,0.87,1.79,2.19,1.96,1.40,5.43,1.69,1.66,3.18,7.35,2.13
Total Liabilities,22.83,33.28,36.80,54.07,58.12,62.52,72.84,72.24,81.65,88.03,
Fixed Assets,1.56,1.42,2.02,2.27,4.34,3.94,6.80,6.53,3.57,3.06,
  └─ Building,1.39,1.39,1.39,0.00,0.95,1.39,1.39,1.39,1.39,,
  └─ Plant Machinery,0.07,0.07,0.07,0.00,0.01,0.08,3.62,3.95,4.02,,
  └─ Equipments,0.06,0.07,0.07,0.00,0.02,0.09,0.10,0.11,0.17,,
  └─ Computers,0.22,0.24,0.24,0.00,0.01,0.26,0.26,0.27,0.28,,
  └─ Furniture n fittings,1.03,1.03,1.04,0.00,0.07,1.05,1.08,1.19,1.23,,
  └─ Vehicles,0.73,0.73,1.63,0.00,0.78,1.47,0.48,0.48,0.48,,
  └─ Other fixed assets,0.01,0.01,0.00,2.27,2.50,2.50,2.51,2.49,0.00,,
  └─ Gross Block,3.51,3.54,4.44,2.27,4.34,6.84,9.44,9.88,7.57,,
  └─ Accumulated Depreciation,1.94,2.13,2.42,0.00,0.00,2.90,2.64,3.35,4.00,,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Investments,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,
Other Assets,21.27,31.86,34.78,49.30,53.78,58.58,66.04,65.71,78.08,84.97,
  └─ Inventories,7.14,11.39,16.48,24.76,21.82,17.83,16.40,16.18,23.86,23.66,16.40
  └─ Trade receivables,10.99,15.10,15.61,19.10,24.23,20.24,30.29,31.52,31.96,27.28,30.29
    └─ Receivables over 6m,1.04,3.26,4.34,0.00,0.00,0.00,0.00,19.90,20.34,,
    └─ Receivables under 6m,9.95,11.84,11.27,19.10,24.23,20.24,30.29,11.62,11.62,,
  └─ Cash Equivalents,1.36,1.08,0.59,1.00,0.28,0.23,0.20,0.20,0.93,1.49,0.20
  └─ Loans n Advances,1.15,3.83,0.59,0.00,3.54,3.81,5.18,4.96,8.17,31.13,15.94
  └─ Other asset items,0.63,0.46,1.51,4.44,3.91,16.47,13.97,12.85,13.16,1.41,3.20
Total Assets,22.83,33.28,36.80,54.07,58.12,62.52,72.84,72.24,81.65,88.03,
