Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,2,2,2,2,11,12
Reserves,162,189,284,310,422,1007,1865
Borrowings,269,147,190,427,436,457,180
  └─ Long term Borrowings,26,14,49,43,28,15,49
  └─ Short term Borrowings,233,133,141,367,377,398,64
  └─ Lease Liabilities,0,0,0,17,31,44,67
  └─ Other Borrowings,10,0,0,0,-0,0,
Other Liabilities,342,364,738,970,784,1700,1934
  └─ Non controlling int,0,0,0,0,0,0,0
  └─ Trade Payables,300,315,665,909,600,1395,1601
  └─ Advance from Customers,0,1,2,2,2,10,
  └─ Other liability items,42,48,71,59,182,295,333
Total Liabilities,775,703,1214,1709,1644,3175,3991
Fixed Assets,66,56,55,65,70,740,826
  └─ Land,27,5,5,26,24,25,
  └─ Building,21,47,16,39,52,111,
  └─ Plant Machinery,1,0,0,0,0,86,
  └─ Equipments,20,1,2,1,1,8,
  └─ Computers,4,1,1,3,5,16,
  └─ Furniture n fittings,4,2,2,2,2,8,
  └─ Vehicles,2,3,4,8,13,13,
  └─ Intangible Assets,2,1,1,1,1,545,554
  └─ Other fixed assets,5,1,36,2,3,9,
  └─ Gross Block,86,61,67,83,100,820,
  └─ Accumulated Depreciation,20,6,12,18,29,80,
CWIP,0,0,4,7,16,30,71
Investments,0,17,30,30,1,1,1
Other Assets,708,630,1126,1607,1558,2404,3093
  └─ Inventories,251,70,303,511,509,871,1104
  └─ Trade receivables,331,379,525,615,734,1039,1404
  └─ Cash Equivalents,37,152,201,371,71,182,200
  └─ Loans n Advances,6,3,10,8,12,14,7
  └─ Other asset items,83,26,88,102,231,299,379
Total Assets,775,703,1214,1709,1644,3175,3991
