Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,18,18,18,14,14,14,14,14,14,14,14,14
Reserves,849,936,1045,2666,2606,2517,2543,2604,2421,2424,2437,2703
Borrowings,22,36,98,151,200,206,119,349,314,248,460,500
  └─ Long term Borrowings,20,23,0,0,0,0,0,89,64,38,61,39
  └─ Short term Borrowings,2,13,98,150,200,184,101,241,234,181,369,430
  └─ Lease Liabilities,0,0,0,0,0,22,18,19,17,28,30,31
  └─ Other Borrowings,-0,0,0,0,0,0,0,0,0,0,0,
Other Liabilities,264,283,359,359,323,407,436,351,444,589,659,520
  └─ Trade Payables,138,164,211,226,221,250,210,183,291,351,403,357
  └─ Advance from Customers,0,0,0,0,0,0,0,0,3,2,2,
  └─ Other liability items,126,119,148,133,101,157,226,168,150,236,254,163
Total Liabilities,1153,1274,1521,3190,3142,3145,3112,3319,3193,3275,3569,3737
Fixed Assets,416,403,491,578,810,870,884,990,1257,1252,1300,1213
  └─ Land,25.49,25.31,26.91,20.81,34.20,34.47,33.64,56.00,56.46,54.12,52.24,
  └─ Building,232.74,177.13,213.21,238.85,312.22,346.44,357.91,399.02,522.22,535.56,576.86,
  └─ Plant Machinery,420.47,226.64,306.47,413.78,606.97,684.14,756.78,881.73,1121.38,1157.32,1300.95,
  └─ Equipments,5.31,0.39,2.19,2.85,5.75,7.82,9.47,10.86,13.31,13.01,13.39,
  └─ Furniture n fittings,14.70,3.57,5.64,5.55,7.46,13.57,13.24,14.90,19.32,18.16,17.99,
  └─ Vehicles,6.08,2.94,2.78,3.11,3.31,2.63,4.76,4.84,4.69,2.28,3.82,
  └─ Intangible Assets,19.87,3.55,4.17,4.78,6.06,1.55,1.55,8.11,8.56,134.74,23.93,8.88
  └─ Other fixed assets,-0.01,0.00,3.99,4.00,3.98,11.64,3.98,4.28,4.35,4.34,4.35,
  └─ Gross Block,724.65,439.53,565.36,693.73,979.95,1102.26,1181.33,1379.74,1750.29,1919.53,1993.53,
  └─ Accumulated Depreciation,308.66,36.92,74.35,115.56,170.00,232.61,297.37,389.70,493.63,667.13,693.96,
CWIP,123,237,250,238,92,330,568,494,147,123,31,100
Investments,41,14,14,901,926,550,392,264,2,1,0,0
Other Assets,574,620,766,1473,1313,1395,1269,1571,1787,1898,2239,2425
  └─ Inventories,208,231,282,273,339,397,538,600,625,736,989,975
  └─ Trade receivables,192,220,315,277,436,390,250,495,589,642,779,829
  └─ Cash Equivalents,27,20,16,681,201,234,82,114,185,158,118,295
  └─ Loans n Advances,31,12,15,16,16,16,18,19,21,19,21,9
  └─ Other asset items,117,137,138,225,322,358,380,342,367,343,333,318
Total Assets,1153,1274,1521,3190,3142,3145,3112,3319,3193,3275,3569,3737
