Metric,Mar 2021,Mar 2022,Mar 2023
Equity Capital,22.52,22.52,22.53
Reserves,-11.16,-11.15,-1.58
Borrowings,5.87,6.24,5.49
  └─ Long term Borrowings,5.88,6.21,3.61
  └─ Short term Borrowings,0.00,0.03,1.88
  └─ Other Borrowings,-0.01,0.00,
Other Liabilities,12.00,18.45,13.24
  └─ Trade Payables,11.74,17.80,12.95
  └─ Advance from Customers,0.00,0.34,
  └─ Other liability items,0.26,0.31,0.29
Total Liabilities,29.23,36.06,39.68
Fixed Assets,0.81,0.66,21.70
  └─ Building,0.19,0.19,
  └─ Computers,0.74,0.74,
  └─ Furniture n fittings,0.03,0.03,
  └─ Vehicles,0.02,0.02,
  └─ Intangible Assets,0.00,0.00,20.60
  └─ Other fixed assets,-0.01,-0.01,
  └─ Gross Block,0.97,0.97,
  └─ Accumulated Depreciation,0.17,0.32,
CWIP,19.59,19.90,0.00
Investments,0.00,0.00,0.01
Other Assets,8.83,15.50,17.97
  └─ Trade receivables,8.11,6.62,7.32
    └─ Receivables over 6m,8.11,6.62,
  └─ Cash Equivalents,0.04,0.05,0.96
  └─ Loans n Advances,0.00,7.60,0.51
  └─ Other asset items,0.68,1.23,9.18
Total Assets,29.23,36.06,39.68
