Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.20,4,4,10,10,10,20,20,20,21
Reserves,1,14,25,40,56,76,91,143,185,252
Borrowings,2,0,1,1,1,15,12,23,44,58
  └─ Long term Borrowings,2,0,1,1,1,0,0,0,0,0
  └─ Short term Borrowings,0,0,0,0,0,4,1,8,5,8
  └─ Lease Liabilities,0,0,0,0,0,11,11,15,39,50
  └─ Other Borrowings,0,0,0,0,0,0,-0,0,0,
Other Liabilities,3,12,43,72,70,57,48,23,28,35
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.08,5.71,6.89
  └─ Trade Payables,1.39,7.53,5.80,16.64,22.72,16.20,12.80,11.45,12.05,11.69
  └─ Advance from Customers,0.00,0.00,31.78,45.04,39.78,37.38,29.65,1.18,1.10,
  └─ Other liability items,1.39,4.61,4.96,10.29,7.52,3.25,5.25,6.97,9.11,16.06
Total Liabilities,6,30,72,122,137,158,171,209,278,365
Fixed Assets,1,9,13,12,14,28,27,30,59,84
  └─ Land,0.00,1.96,1.96,1.96,1.96,5.05,4.77,4.47,4.22,
  └─ Building,0.00,6.03,8.73,8.67,8.86,17.61,17.29,21.52,45.52,
  └─ Plant Machinery,0.38,0.85,0.77,0.55,0.57,5.83,7.21,8.09,13.21,
  └─ Equipments,0.03,0.62,0.81,0.54,2.87,1.05,1.09,1.16,2.36,
  └─ Computers,0.00,0.00,0.00,0.00,0.00,0.12,0.13,0.20,0.33,
  └─ Furniture n fittings,0.04,0.08,0.35,0.35,0.35,0.52,0.52,0.54,0.57,
  └─ Vehicles,0.56,0.56,1.89,1.42,1.42,1.42,1.42,1.43,1.43,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79
  └─ Other fixed assets,0.00,0.00,-0.01,-0.01,0.00,0.01,0.00,-0.01,0.82,
  └─ Gross Block,1.01,10.10,14.50,13.48,16.03,31.61,32.43,37.40,68.46,
  └─ Accumulated Depreciation,0.34,0.73,1.40,1.31,2.44,3.85,5.73,7.70,9.83,
CWIP,4,0,0,0,0,0,2,5,12,5
Investments,0,2,28,46,41,41,39,49,59,80
Other Assets,2,19,31,64,83,88,103,124,148,195
  └─ Inventories,0,0,0,0,7,7,10,14,14,12
  └─ Trade receivables,0,0,0,0,0,2,9,13,29,44
    └─ Receivables over 6m,0.00,0.00,0.00,0.00,0.17,0.02,1.12,2.55,6.22,
    └─ Receivables under 6m,0.00,0.01,0.00,0.00,0.00,2.03,8.07,10.69,23.10,
  └─ Cash Equivalents,1,6,15,39,47,52,4,6,12,11
  └─ Loans n Advances,1,10,10,13,16,8,7,16,10,105
  └─ Other asset items,0,2,5,12,13,18,73,76,82,24
Total Assets,6,30,72,122,137,158,171,209,278,365
