Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,9,9,9,9,9,9,9,9,9
Reserves,203,215,255,291,326,386,410,449,457,472
Borrowings,23,35,62,64,46,34,43,77,100,106
  └─ Long term Borrowings,10,8,16,15,21,5,2,36,41,35
  └─ Short term Borrowings,10,25,41,42,13,28,36,37,56,65
  └─ Lease Liabilities,0,0,0,0,0,0,5,4,3,6
  └─ Other Borrowings,2,2,6,7,11,,0,0,0,
Other Liabilities,83,79,64,68,73,43,50,59,70,85
  └─ Non controlling int,0,0,0,0,0,0,0,0,2,-1
  └─ Trade Payables,46,53,45,51,41,28,35,34,40,56
  └─ Advance from Customers,1,1,2,2,2,,1,2,3,
  └─ Other liability items,35,25,18,15,30,16,13,24,24,30
Total Liabilities,317,337,391,432,454,472,512,594,636,673
Fixed Assets,125,131,121,106,111,159,158,205,245,230
  └─ Land,8.48,8.51,0.33,0.33,1.09,,26.65,34.77,33.16,
  └─ Building,15.34,15.45,9.78,12.00,13.11,,55.34,82.16,103.01,
  └─ Plant Machinery,218.46,243.44,94.31,103.62,124.92,,203.69,236.05,272.41,
  └─ Equipments,7.37,8.72,2.54,2.97,3.61,,7.59,8.77,10.12,
  └─ Furniture n fittings,8.26,8.66,26.64,32.10,32.87,,39.98,43.32,47.96,
  └─ Vehicles,8.23,9.55,5.80,5.82,4.07,,10.21,10.78,10.64,
  └─ Wind turbines,32.18,32.18,5.75,5.75,17.97,,15.31,15.31,15.31,
  └─ Intangible Assets,0.09,3.79,0.04,0.04,0.04,0.82,0.06,0.06,0.06,0.68
  └─ Other fixed assets,3.51,4.80,3.67,5.58,5.58,,7.14,7.47,6.11,
  └─ Gross Block,301.92,335.10,148.86,168.21,203.26,,365.97,438.69,498.78,
  └─ Accumulated Depreciation,176.61,204.30,27.85,62.24,92.32,,207.95,234.15,253.58,
CWIP,4,7,0,1,26,2,7,30,15,68
Investments,50,59,115,153,119,119,147,134,156,135
Other Assets,138,140,154,173,198,192,199,226,220,239
  └─ Inventories,33,29,39,40,40,58,58,67,67,67
  └─ Trade receivables,59,65,76,92,77,90,107,98,111,101
  └─ Cash Equivalents,14,7,2,5,6,4,1,12,1,5
  └─ Loans n Advances,0,0,2,3,3,8,6,4,3,6
  └─ Other asset items,32,38,34,33,71,31,28,45,38,60
Total Assets,317,337,391,432,454,472,512,594,636,673
