Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,67,74,78,86,96,96,110,110,110,145,164,182,182
Reserves,154,-269,-955,-1322,-1523,-1676,-1768,-1844,-1773,411,1340,1942,2039
Borrowings,2678,3076,3528,3602,3510,3638,3464,3434,3169,860,473,559,459
  └─ Long term Borrowings,1708,2039,2319,53,57,1614,662,579,586,626,303,148,52
  └─ Short term Borrowings,718,729,794,2886,3453,2024,2802,2855,2583,234,169,410,406
  └─ Lease Liabilities,0,0,0,0,0,0,0,0,1,1,1,1,1
  └─ Other Borrowings,253,309,414,663,0,0,0,0,0,0,0,0,
Other Liabilities,1220,1212,1283,1162,1154,1145,1173,1306,1463,1543,1378,1207,1264
  └─ Trade Payables,925,904,799,581,641,670,690,750,819,899,870,714,620
  └─ Advance from Customers,79,58,70,106,72,97,147,227,369,288,207,169,
  └─ Other liability items,216,250,414,474,441,378,336,328,275,356,301,324,643
Total Liabilities,4120,4093,3933,3528,3238,3204,2979,3006,2969,2960,3354,3891,3944
Fixed Assets,1953,1809,1691,1583,1409,1324,1238,1181,1165,1132,1382,1614,1591
  └─ Land,51.58,51.58,51.58,51.63,49.76,49.76,49.76,49.76,49.76,49.76,49.76,49.76,
  └─ Building,425.63,425.50,425.16,426.06,408.53,409.25,405.93,407.79,410.89,418.28,448.03,453.93,
  └─ Plant Machinery,1849.35,1855.72,1859.50,1853.91,1759.43,1766.58,1771.62,1801.72,1865.66,1790.42,1993.90,2270.49,
  └─ Equipments,9.39,9.58,10.12,10.28,10.95,10.24,11.27,12.18,13.59,15.37,18.16,21.38,
  └─ Furniture n fittings,257.54,257.61,257.50,257.88,249.01,248.67,244.17,245.24,247.58,224.71,246.16,285.91,
  └─ Railway sidings,43.54,43.54,43.54,43.54,43.54,43.54,43.54,43.54,45.83,49.72,49.72,49.72,
  └─ Vehicles,3.16,2.98,2.98,3.06,1.84,1.34,1.20,1.20,1.20,1.34,1.46,1.75,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.57
  └─ Other fixed assets,-0.01,0.00,-0.01,0.01,0.01,1.01,1.17,1.24,1.50,1.51,1.51,1.51,
  └─ Gross Block,2640.18,2646.51,2650.37,2646.37,2523.07,2530.39,2528.66,2562.67,2636.01,2551.11,2808.70,3134.45,
  └─ Accumulated Depreciation,687.42,837.30,959.07,1063.64,1114.04,1206.26,1290.46,1381.20,1470.96,1419.51,1426.77,1520.56,
CWIP,129,127,130,134,119,79,98,102,52,69,116,129,191
Investments,2,2,2,2,1,1,1,1,1,1,1,1,1
Other Assets,2036,2155,2110,1809,1709,1800,1642,1722,1751,1758,1856,2147,2162
  └─ Inventories,540,529,528,460,488,496,579,699,758,821,950,1248,1307
  └─ Trade receivables,798,771,737,493,399,394,284,244,156,229,242,430,333
    └─ Receivables over 6m,243,269,260,0,0,0,0,0,0,360,174,222,
    └─ Receivables under 6m,566,513,492,694,616,607,517,485,517,245,259,408,
    └─ Prov for Doubtful,-10,-10,-15,-201,-217,-213,-233,-241,-360,-375,-191,-200,
  └─ Cash Equivalents,27,34,17,14,8,7,23,26,22,51,91,126,54
  └─ Loans n Advances,89,93,102,108,80,77,17,4,7,21,18,25,105
  └─ Other asset items,583,729,727,735,733,825,740,749,808,635,555,318,362
Total Assets,4120,4093,3933,3528,3238,3204,2979,3006,2969,2960,3354,3891,3944
