Metric,Mar 2025,Mar 2026
Equity Capital,0.00,149
Reserves,832,689
Borrowings,354,531
  └─ Long term Borrowings,5,41
  └─ Short term Borrowings,58,33
  └─ Lease Liabilities,291,456
  └─ Other Borrowings,-0,
Other Liabilities,536,667
  └─ Non controlling int,80,78
  └─ Trade Payables,74,68
  └─ Advance from Customers,2,
  └─ Other liability items,379,521
Total Liabilities,1722,2036
Fixed Assets,683,879
  └─ Land,47,
  └─ Building,308,
  └─ Plant Machinery,16,
  └─ Equipments,32,
  └─ Computers,217,
  └─ Furniture n fittings,26,
  └─ Vehicles,3,
  └─ Intangible Assets,213,258
  └─ Other fixed assets,218,
  └─ Gross Block,1080,
  └─ Accumulated Depreciation,397,
CWIP,9,2
Investments,84,61
Other Assets,945,1095
  └─ Trade receivables,555,447
    └─ Receivables over 6m,26,
    └─ Receivables under 6m,565,
    └─ Prov for Doubtful,-37,
  └─ Cash Equivalents,184,198
  └─ Loans n Advances,48,42
  └─ Other asset items,158,408
Total Assets,1722,2036
