Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Equity Capital,7.19,7.19,7.19,21.56,21.56,21.56,21.56,24.56,27.16,27.16,47.39
Reserves,91.51,96.58,99.75,84.11,124.64,73.46,60.09,56.00,42.45,48.24,52.37
Borrowings,69.72,76.08,109.75,127.23,120.12,105.80,93.48,66.80,58.71,43.42,40.33
  └─ Long term Borrowings,,11.27,23.83,28.30,20.77,46.85,21.84,15.29,9.57,0.18,22.47
  └─ Short term Borrowings,,64.82,73.92,86.71,89.78,39.43,46.00,46.20,43.46,37.35,17.86
  └─ Other Borrowings,69.72,-0.01,12.00,12.22,9.57,19.52,25.64,5.31,5.68,5.89,
Other Liabilities,21.59,33.87,33.14,41.26,22.25,14.29,13.04,30.99,23.59,35.13,18.02
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.48,0.00
  └─ Trade Payables,11.79,10.66,26.34,31.83,14.64,9.73,9.66,12.52,17.69,8.27,2.60
  └─ Advance from Customers,0.27,0.88,2.02,0.78,2.61,1.30,1.08,0.73,0.71,0.56,
  └─ Other liability items,9.53,22.33,4.78,8.65,5.00,3.26,2.30,17.74,5.19,5.82,15.42
Total Liabilities,190.01,213.72,249.83,274.16,288.57,215.11,188.17,178.35,151.91,153.95,158.11
Fixed Assets,84.83,90.30,101.16,95.09,137.88,101.45,91.93,58.55,56.71,60.05,63.95
  └─ Land,17.84,17.84,18.67,18.67,63.05,58.51,53.49,37.32,37.32,37.32,
  └─ Building,21.74,22.19,23.42,23.42,23.60,21.84,21.84,10.30,13.81,13.81,
  └─ Plant Machinery,40.64,40.91,50.41,50.54,55.24,26.38,25.54,6.42,13.51,13.75,
  └─ Equipments,0.00,0.00,0.92,0.93,1.03,1.09,1.11,0.12,1.06,1.10,
  └─ Computers,0.38,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Furniture n fittings,6.46,7.59,8.35,8.40,8.16,8.16,8.16,1.56,4.43,4.44,
  └─ Vehicles,2.35,2.42,2.67,2.69,2.73,3.25,3.16,1.13,2.36,2.67,
  └─ Intangible Assets,0.00,0.00,7.29,7.29,7.29,7.29,7.29,0.00,0.00,0.00,12.50
  └─ Other fixed assets,7.29,15.07,11.14,11.56,11.84,12.01,12.20,4.76,13.41,18.81,
  └─ Gross Block,96.70,106.84,122.87,123.50,172.94,138.53,132.79,61.61,85.90,91.90,
  └─ Accumulated Depreciation,11.87,16.54,21.71,28.41,35.06,37.07,40.86,3.07,29.19,31.85,
CWIP,9.96,7.91,0.10,2.96,0.00,0.00,0.06,0.00,0.00,0.00,0.00
Investments,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.23
Other Assets,95.21,115.50,148.56,176.10,150.68,113.65,96.18,119.80,95.20,93.90,93.93
  └─ Inventories,32.10,56.99,56.96,57.89,64.19,67.25,44.84,27.50,39.48,39.27,38.99
  └─ Trade receivables,47.92,39.27,68.29,84.85,53.05,25.18,30.35,30.20,20.27,21.20,17.03
  └─ Cash Equivalents,3.03,2.05,2.93,2.42,1.53,1.31,1.55,0.21,0.15,0.38,0.88
  └─ Loans n Advances,2.48,11.66,13.09,10.25,9.58,4.33,4.39,2.49,0.65,0.44,0.03
  └─ Other asset items,9.68,5.53,7.29,20.69,22.33,15.58,15.05,59.40,34.65,32.61,37.00
Total Assets,190.01,213.72,249.83,274.16,288.57,215.11,188.17,178.35,151.91,153.95,158.11
