Metric,Mar 2025,Mar 2026
Equity Capital,10.82,23.13
Reserves,-2.40,-2.33
Borrowings,3.12,0.74
  └─ Long term Borrowings,0.05,0.62
  └─ Short term Borrowings,3.07,0.10
  └─ Lease Liabilities,0.00,0.02
Other Liabilities,2.49,16.37
  └─ Non controlling int,0.77,2.31
  └─ Trade Payables,1.48,13.38
  └─ Other liability items,0.24,0.68
Total Liabilities,14.03,37.91
Fixed Assets,0.16,2.82
CWIP,5.05,5.70
Investments,0.00,0.00
Other Assets,8.82,29.39
  └─ Inventories,0.07,0.65
  └─ Trade receivables,5.90,21.03
  └─ Cash Equivalents,0.07,3.58
  └─ Loans n Advances,1.92,1.54
  └─ Other asset items,0.86,2.59
Total Assets,14.03,37.91
