Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,258,258,258,259,259,259,259,261,262,262,262,262,
Reserves,2466,2388,3309,3524,2492,2450,2460,2690,3084,3281,3524,3782,
Borrowings,3397,3819,2926,3323,2700,2640,2121,1865,1517,1448,1562,1660,
  └─ Long term Borrowings,1394,1493,757,849,935,1018,1142,758,378,263,292,277,
  └─ Short term Borrowings,1701,1995,2025,2264,1601,1175,860,1002,1025,1062,1084,1164,
  └─ Lease Liabilities,0,0,0,0,0,185,119,106,114,123,186,219,
  └─ Other Borrowings,302,331,144,211,164,262,0,0,0,0,0,,
Other Liabilities,1855,1659,2032,3082,1872,1790,1872,2881,2035,2254,2684,3133,
  └─ Non controlling int,35,56,151,305,86,58,47,56,59,78,85,97,
  └─ Trade Payables,1349,1214,1427,2147,1358,1260,1400,2183,1238,1375,1655,1973,
  └─ Advance from Customers,67,40,45,107,37,79,99,215,278,339,312,,
  └─ Other liability items,404,350,409,523,390,393,326,428,461,462,631,1063,
Total Liabilities,7976,8125,8525,10188,7322,7138,6713,7697,6898,7245,8032,8836,
Fixed Assets,3208,3357,3672,3962,3421,3835,3590,3481,3427,3421,3578,3995,
  └─ Land,1226.93,1302.66,1398.34,1416.11,1319.11,1454.41,1406.17,1255.43,1286.15,1289.89,1427.76,,
  └─ Building,915.51,736.79,749.69,869.61,585.57,636.80,657.66,677.88,686.00,713.11,728.47,,
  └─ Plant Machinery,2591.57,1288.58,1474.51,1686.51,1833.68,2248.28,2301.20,2399.90,2514.98,2653.62,2840.03,,
  └─ Equipments,42.67,42.47,46.05,58.12,33.37,36.64,37.62,37.48,37.34,40.80,43.99,,
  └─ Computers,0.00,49.01,48.19,69.89,48.76,54.10,56.81,56.57,56.44,61.58,69.74,,
  └─ Furniture n fittings,170.28,203.88,211.15,261.42,86.99,98.26,98.12,95.64,89.90,93.21,112.35,,
  └─ Vehicles,39.99,36.13,44.81,52.95,53.05,56.04,49.87,56.99,67.79,78.48,91.37,,
  └─ Intangible Assets,225.59,34.18,59.16,215.65,64.86,68.90,70.91,71.83,49.21,48.79,43.90,30.47,
  └─ Other fixed assets,75.29,84.88,191.03,227.63,218.18,239.71,219.03,357.65,283.33,305.66,245.70,,
  └─ Gross Block,5287.83,3778.58,4222.93,4857.89,4243.57,4893.14,4897.39,5009.37,5071.14,5285.14,5603.31,,
  └─ Accumulated Depreciation,2079.60,421.79,550.72,895.67,822.43,1058.13,1306.89,1528.38,1644.63,1863.72,2025.14,,
CWIP,100,147,96,116,262,113,78,46,80,117,409,119,
Investments,59,544,277,76,78,90,70,66,211,167,150,269,
Other Assets,4609,4077,4481,6033,3561,3100,2974,4104,3180,3539,3895,4453,
  └─ Inventories,1845,1920,2383,2244,1598,1277,1160,2208,1649,1986,2138,2174,
  └─ Trade receivables,1166,768,795,1767,897,1048,1092,1109,966,1070,1177,1444,
    └─ Receivables over 6m,35,0,0,0,0,0,0,98,86,73,75,,59
    └─ Receivables under 6m,1137,769,808,1876,908,1068,1099,1025,938,1054,1153,,953
    └─ Prov for Doubtful,-7,-1,-13,-109,-11,-21,-7,-14,-59,-57,-51,,-2
  └─ Cash Equivalents,83,61,54,65,81,84,52,77,77,76,117,163,
  └─ Loans n Advances,46,516,474,442,383,141,191,160,168,131,124,62,
  └─ Other asset items,1469,812,776,1514,602,550,480,550,320,277,339,610,
Total Assets,7976,8125,8525,10188,7322,7138,6713,7697,6898,7245,8032,8836,
