Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,56,60,60,60,60,60,360,410,415,417
Reserves,1798,2553,2827,2488,2831,3212,3635,7616,9282,10460
Borrowings,1599,1732,2051,3103,3946,4740,4568,4758,5042,6899
  └─ Long term Borrowings,943,1364,2000,2611,3390,4095,4095,4270,4439,5952
  └─ Short term Borrowings,544,316,0,106,90,314,148,110,220,458
  └─ Lease Liabilities,0,0,0,0,0,331,324,378,383,489
  └─ Other Borrowings,111,52,51,386,465,0,0,0,0,
Other Liabilities,628,840,762,1085,1286,1165,750,909,2068,2582
  └─ Non controlling int,157,192,197,203,197,200,94,205,792,815
  └─ Trade Payables,39,220,117,205,261,275,302,356,349,374
  └─ Advance from Customers,1,0,22,5,22,38,27,33,37,
  └─ Other liability items,432,429,427,672,805,652,327,314,890,1392
Total Liabilities,4082,5185,5701,6736,8123,9177,9312,13694,16807,20358
Fixed Assets,2730,3186,3256,3948,4924,6134,5975,7757,9523,10568
  └─ Land,336,340,340,349,496,588,379,647,1573,
  └─ Building,1189,1344,1643,1929,2136,2108,1110,1843,2167,
  └─ Plant Machinery,773,1168,1181,1673,1675,1832,1723,2186,2589,
  └─ Ships Vessels,0,87,87,187,187,187,1644,1681,1808,
  └─ Equipments,2,4,5,6,8,11,11,12,15,
  └─ Computers,1,1,1,1,2,2,6,7,10,
  └─ Furniture n fittings,4,5,6,7,7,8,9,11,14,
  └─ Railway sidings,0,0,0,0,0,0,0,26,131,
  └─ Vehicles,3,4,5,5,5,5,6,11,186,
  └─ Intangible Assets,575,82,0,0,36,36,36,698,744,3077
  └─ Other fixed assets,3,463,469,470,1303,2600,2590,2608,2795,
  └─ Gross Block,2885,3498,3738,4628,5855,7376,7515,9731,12032,
  └─ Accumulated Depreciation,155,312,481,680,931,1242,1540,1974,2509,
CWIP,380,633,862,752,1125,80,46,132,2020,3147
Investments,95,28,230,376,296,283,307,244,183,25
Other Assets,877,1338,1352,1660,1779,2681,2985,5560,5081,6618
  └─ Inventories,34,50,76,125,99,85,102,112,134,147
  └─ Trade receivables,198,294,308,502,412,601,402,677,809,1058
    └─ Receivables over 6m,0,0,0,0,0,123,57,112,252,
    └─ Receivables under 6m,199,295,308,503,412,492,359,572,565,
    └─ Prov for Doubtful,-1,-1,-1,-1,-1,-13,-14,-8,-8,
  └─ Cash Equivalents,45,328,102,163,314,1038,1632,4090,2482,2318
  └─ Loans n Advances,95,226,366,310,336,545,29,53,43,950
  └─ Other asset items,504,440,501,559,618,411,820,628,1614,2145
Total Assets,4082,5185,5701,6736,8123,9177,9312,13694,16807,20358
