Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Equity Capital,2.39,2.39,2.39,2.39,2.39,2.39
Reserves,88.80,93.92,91.27,94.60,91.86,84.55
Borrowings,35.32,35.22,28.22,23.23,26.19,15.91
  └─ Long term Borrowings,24.07,19.62,13.18,7.08,0.54,0.23
  └─ Short term Borrowings,7.35,9.55,8.61,9.70,22.60,15.68
  └─ Other Borrowings,3.90,6.05,6.43,6.45,3.05,
Other Liabilities,24.71,32.48,35.69,40.57,38.72,39.35
  └─ Trade Payables,12.91,17.46,22.30,25.69,24.18,20.16
  └─ Advance from Customers,4.01,4.71,5.82,4.87,7.27,
  └─ Other liability items,7.79,10.31,7.57,10.01,7.27,19.19
Total Liabilities,151.22,164.01,157.57,160.79,159.16,142.20
Fixed Assets,38.63,50.40,47.02,44.35,45.35,43.44
  └─ Land,5.48,5.52,5.52,5.52,5.52,
  └─ Building,19.17,16.40,17.72,18.26,18.53,
  └─ Plant Machinery,49.21,24.90,29.12,30.39,35.76,
  └─ Equipments,0.24,0.02,0.04,0.05,0.06,
  └─ Furniture n fittings,5.72,2.82,3.31,3.45,3.48,
  └─ Vehicles,0.85,0.13,0.13,0.69,0.69,
  └─ Intangible Assets,3.28,0.35,0.85,0.85,0.85,0.41
  └─ Other fixed assets,0.56,0.26,0.30,0.30,0.29,
  └─ Gross Block,84.51,50.40,56.99,59.51,65.18,
  └─ Accumulated Depreciation,45.88,0.00,9.97,15.16,19.83,
CWIP,5.78,0.70,0.39,0.00,0.00,0.00
Investments,24.50,30.31,24.09,21.23,17.57,14.17
Other Assets,82.31,82.60,86.07,95.21,96.24,84.59
  └─ Inventories,30.14,30.38,34.05,39.49,45.46,44.84
  └─ Trade receivables,40.65,38.60,38.77,40.76,38.48,26.24
  └─ Cash Equivalents,2.90,2.55,1.56,2.36,3.06,4.29
  └─ Loans n Advances,0.83,0.61,0.84,0.73,1.33,0.76
  └─ Other asset items,7.79,10.46,10.85,11.87,7.91,8.46
Total Assets,151.22,164.01,157.57,160.79,159.16,142.20
