Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,0.01,0.01,0.01,2.29,3.14,3.14,3.14
Reserves,-0.10,0.46,1.38,1.18,7.23,5.21,5.11
Borrowings,0.02,1.06,4.84,8.48,9.18,6.82,7.45
  └─ Long term Borrowings,0.02,0.66,3.37,4.42,4.38,1.12,1.70
  └─ Short term Borrowings,0.00,0.40,1.47,4.06,4.80,5.70,5.75
Other Liabilities,1.96,4.14,3.85,5.06,10.60,24.14,22.30
  └─ Trade Payables,0.67,2.51,1.61,3.01,2.73,5.34,5.23
  └─ Advance from Customers,0.95,0.91,0.92,0.00,0.00,0.00,
  └─ Other liability items,0.34,0.72,1.32,2.05,7.87,18.80,17.07
Total Liabilities,1.89,5.67,10.08,17.01,30.15,39.31,38.00
Fixed Assets,0.15,0.16,0.50,2.07,0.97,1.22,14.07
  └─ Plant Machinery,0.00,0.00,0.00,0.00,0.87,1.42,
  └─ Equipments,0.01,0.01,0.01,0.02,0.02,0.02,
  └─ Computers,0.09,0.11,0.11,0.11,0.19,0.19,
  └─ Intangible Assets,0.10,0.12,0.00,0.00,0.00,0.00,12.98
  └─ Other fixed assets,0.01,0.01,0.49,2.08,0.05,0.04,
  └─ Gross Block,0.21,0.25,0.61,2.21,1.13,1.67,
  └─ Accumulated Depreciation,0.06,0.09,0.11,0.14,0.16,0.46,
CWIP,0.00,0.00,0.00,0.00,8.50,11.60,0.00
Investments,0.00,0.10,1.25,1.20,1.26,1.29,1.30
Other Assets,1.74,5.41,8.33,13.74,19.42,25.20,22.63
  └─ Inventories,1.34,3.28,2.50,2.53,2.51,11.17,9.79
  └─ Trade receivables,0.01,1.36,3.82,8.29,11.47,9.24,8.78
    └─ Receivables over 6m,0.01,0.12,0.04,5.34,9.19,7.74,
    └─ Receivables under 6m,0.00,1.24,3.77,2.96,2.28,1.50,
  └─ Cash Equivalents,0.09,0.31,0.14,0.39,3.10,1.84,0.69
  └─ Loans n Advances,0.08,0.23,0.49,0.64,1.33,1.62,2.99
  └─ Other asset items,0.22,0.23,1.38,1.89,1.01,1.33,0.38
Total Assets,1.89,5.67,10.08,17.01,30.15,39.31,38.00
