Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,2,2,2,2,21
Reserves,2,8,9,8,21,88
Borrowings,9,9,8,23,23,32
  └─ Long term Borrowings,8.84,8.51,7.68,14.99,17.20,18.02
  └─ Short term Borrowings,0.00,0.00,0.00,7.75,5.60,13.87
  └─ Other Borrowings,0.00,0.00,0.00,0.00,-0.01,
Other Liabilities,33,38,30,58,70,76
  └─ Non controlling int,0.23,0.09,0.00,0.00,0.00,12.06
  └─ Trade Payables,7.21,20.64,19.05,24.50,48.53,32.36
  └─ Other liability items,25.23,17.60,11.18,33.58,21.53,31.73
Total Liabilities,45,56,49,91,115,216
Fixed Assets,8,8,0,12,15,56
  └─ Equipments,0.07,0.07,0.02,0.13,0.40,
  └─ Computers,0.66,0.87,0.39,1.54,1.85,
  └─ Furniture n fittings,0.45,0.45,0.25,0.97,1.35,
  └─ Vehicles,0.14,0.14,0.00,0.00,1.81,
  └─ Intangible Assets,7.62,7.87,0.00,11.83,11.83,48.95
  └─ Other fixed assets,0.02,0.02,0.02,0.03,0.12,
  └─ Gross Block,8.96,9.42,0.68,14.50,17.36,
  └─ Accumulated Depreciation,1.04,1.18,0.42,2.16,2.47,
CWIP,0,0,0,0,0,0
Investments,0,0,15,0,0,6
Other Assets,37,48,34,78,100,155
  └─ Trade receivables,30,15,9,10,41,79
    └─ Receivables over 6m,2.94,2.98,2.24,3.35,6.33,
    └─ Receivables under 6m,27.43,12.50,7.04,6.83,34.33,
  └─ Cash Equivalents,2,2,20,61,51,44
  └─ Loans n Advances,0,0,0,2,2,1
  └─ Other asset items,5,31,4,5,7,31
Total Assets,45,56,49,91,115,216
