Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,0.15,7.55,7.55,15.10,15.10,15.10
Reserves,10.16,15.97,20.02,15.48,20.42,23.39
Borrowings,1.96,1.58,2.66,5.90,7.77,6.98
  └─ Long term Borrowings,1.35,1.06,1.35,1.22,0.71,0.71
  └─ Short term Borrowings,0.61,0.53,1.31,4.68,7.06,6.27
  └─ Other Borrowings,0.00,-0.01,0.00,0.00,0.00,
Other Liabilities,2.54,4.52,5.00,3.91,6.40,6.46
  └─ Trade Payables,1.96,3.35,3.75,2.53,4.53,4.22
  └─ Advance from Customers,0.19,0.62,0.44,0.31,0.37,
  └─ Other liability items,0.39,0.55,0.81,1.07,1.50,2.24
Total Liabilities,14.81,29.62,35.23,40.39,49.69,51.93
Fixed Assets,6.25,6.98,6.65,19.66,23.14,23.88
  └─ Land,1.10,1.18,1.18,1.18,1.18,
  └─ Building,1.77,2.32,2.32,7.40,10.77,
  └─ Plant Machinery,6.57,6.72,6.85,13.56,14.41,
  └─ Equipments,0.47,0.57,0.62,0.69,0.81,
  └─ Computers,0.23,0.27,0.31,0.37,0.43,
  └─ Furniture n fittings,0.20,0.21,0.21,0.21,0.21,
  └─ Vehicles,1.49,1.76,1.62,2.41,2.83,
  └─ Other fixed assets,-0.01,-0.01,-0.01,1.14,1.19,
  └─ Gross Block,11.82,13.02,13.10,26.96,31.83,
  └─ Accumulated Depreciation,5.56,6.04,6.44,7.30,8.69,
CWIP,0.00,2.72,6.42,2.14,0.00,0.00
Investments,0.02,0.02,0.02,0.05,2.24,3.10
Other Assets,8.54,19.90,22.14,18.54,24.31,24.95
  └─ Inventories,4.70,8.64,10.30,10.20,10.12,10.19
  └─ Trade receivables,2.39,4.19,5.71,6.52,11.91,11.99
  └─ Cash Equivalents,0.23,4.35,4.09,0.66,0.69,0.92
  └─ Loans n Advances,0.00,0.00,0.06,0.06,0.10,1.54
  └─ Other asset items,1.22,2.72,1.98,1.10,1.49,0.31
Total Assets,14.81,29.62,35.23,40.39,49.69,51.93
