Metric,Sep 2014,Sep 2015,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,Sep 2021,Sep 2022,Sep 2023,Sep 2024,Mar 2026,Mar 2021,Sep 2025
Equity Capital,71,71,71,71,71,71,71,71,71,71,71,71,,
Reserves,4304,5046,6732,7619,8228,8978,9421,10276,11539,13016,15286,13769,,
Borrowings,0,25,25,0,0,0,0,4,182,175,279,310,,
  └─ Long term Borrowings,,,0,0,0,0,0,0,0,0,0,4,150,0
  └─ Short term Borrowings,,,25,0,0,0,0,2,0,0,0,0,96,0
  └─ Lease Liabilities,,,0,0,0,0,0,0,182,175,279,307,0,145
  └─ Other Borrowings,,,0,0,0,0,0,2,0,0,0,,,
Other Liabilities,5915,5433,5157,5448,6037,6309,6368,7664,8317,8384,9663,7150,,
  └─ Non controlling int,,,0,0,0,0,0,8,8,9,9,11,7,10
  └─ Trade Payables,,,2201,2664,3058,3305,2787,3672,4040,4004,4700,4073,3785,3735
  └─ Advance from Customers,,,638,798,0,824,0,0,0,0,0,,,
  └─ Other liability items,,,2318,1985,2979,2180,3581,3985,4269,4371,4953,3066,3685,2871
Total Liabilities,10290,10576,11986,13138,14336,15358,15860,18015,20109,21646,25299,21301,,
Fixed Assets,1356,1394,1227,1365,1381,1219,1196,3264,3107,3038,3112,2786,,
  └─ Land,,,88,88,88,69,47,37,37,240,344,,,
  └─ Building,,,522,538,558,576,532,517,515,506,504,,,
  └─ Plant Machinery,,,728,906,1079,1192,1124,1317,1402,1475,1631,,,
  └─ Equipments,,,57,67,80,95,121,132,137,133,143,,,
  └─ Furniture n fittings,,,18,29,31,32,32,32,30,31,37,,,
  └─ Vehicles,,,0,0,0,0,0,0,0,32,44,,,
  └─ Intangible Assets,,,35,35,35,35,32,1411,1413,1447,1449,1617,1845,1648
  └─ Other fixed assets,,,3,120,120,4,192,909,849,594,594,,,
  └─ Gross Block,,,1452,1783,1991,2003,2080,4356,4384,4458,4744,,,
  └─ Accumulated Depreciation,,,225,418,610,784,884,1092,1277,1420,1632,,,
CWIP,41,32,79,143,62,58,88,35,52,50,103,249,,
Investments,8,114,110,0,0,0,0,3,1,1,1,1,,
Other Assets,8886,9037,10570,11630,12893,14081,14576,14713,16949,18556,22082,18264,,
  └─ Inventories,,,1011,1021,1150,1120,1115,1787,2165,2505,2630,2589,1737,1996
  └─ Trade receivables,,,3028,3430,3671,3816,3140,3683,3786,3789,4410,3902,4068,2982
  └─ Cash Equivalents,,,3510,4075,3692,5002,5710,5159,6584,7651,9568,5612,4795,6675
  └─ Loans n Advances,,,76,89,93,78,62,105,170,683,608,960,1079,803
  └─ Other asset items,,,2945,3014,4286,4065,4549,3979,4244,3929,4865,5201,3982,4685
Total Assets,10290,10576,11986,13138,14336,15358,15860,18015,20109,21646,25299,21301,,
