Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,144,144,156,156,159,159,160,160
Reserves,2222,2590,3536,4011,4948,6411,6796,7682
Borrowing,4867,9540,10941,12921,16312,21841,20446,23641
Other Liabilities,126,316,427,394,439,460,401,447
  └─ Non controlling int,0,109,105,0,0,0,0,0
  └─ Trade Payables,8,36,43,35,44,37,32,40
  └─ Other liability items,117,171,280,360,395,423,369,407
Total Liabilities,7357,12590,15060,17482,21858,28871,27802,31930
Fixed Assets,25,576,573,629,599,609,604,588
  └─ Land,0,0,0,6,6,6,6,
  └─ Building,7,34,34,34,40,41,11,
  └─ Equipments,12,17,18,23,27,31,40,
  └─ Computers,8,54,80,103,107,140,30,
  └─ Furniture n fittings,6,12,11,15,18,21,24,
  └─ Vehicles,1,1,1,1,1,1,1,
  └─ Intangible Assets,0,318,318,376,376,376,376,456
  └─ Other fixed assets,14,185,197,202,204,211,381,
  └─ Gross Block,48,620,658,760,778,826,868,
  └─ Accumulated Depreciation,23,43,86,131,178,217,264,
CWIP,2,3,1,3,4,5,4,0
Investments,0,46,1,1,455,1439,893,1075
Other Assets,7330,11965,14486,16849,20801,26818,26302,30267
  └─ Cash Equivalents,616,718,2484,1761,1436,1314,1443,1327
  └─ Loans n Advances,22,33,44,59,64,85,66,27923
  └─ Other asset items,6692,11214,11958,15030,19300,25419,24794,1018
Total Assets,7357,12590,15060,17482,21858,28871,27802,31930
