Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2025,Mar 2026
Equity Capital,9,19,19,19,19,19,19,19,19,19,19
Reserves,22,89,78,76,77,78,82,81,85,138,134
Borrowings,46,47,57,64,88,114,80,109,107,83,78
  └─ Long term Borrowings,,,,,,59,45,62,58,24,19
  └─ Short term Borrowings,,,,,,30,35,32,30,59,56
  └─ Lease Liabilities,,,,,,0,0,0,0,0,4
  └─ Other Borrowings,46,47,57,64,88,24,0,16,19,,
Other Liabilities,16,33,33,38,63,69,79,65,65,82,98
  └─ Non controlling int,0,0,5,5,4,4,4,4,4,0,0
  └─ Trade Payables,6,7,9,16,27,36,23,32,28,73,90
  └─ Advance from Customers,2,11,0,0,1,1,0,6,1,,
  └─ Other liability items,8,15,20,16,31,27,51,24,32,9,7
Total Liabilities,93,189,187,196,246,280,260,275,276,322,329
Fixed Assets,46,48,64,67,92,92,86,87,93,102,105
  └─ Land,1.07,1.03,16.20,16.20,16.14,16.17,16.12,16.12,16.64,,
  └─ Building,5.29,5.11,5.15,5.15,9.84,10.57,9.92,10.21,10.26,,
  └─ Plant Machinery,47.31,51.42,54.18,59.58,83.71,95.10,96.46,105.82,119.54,,
  └─ Equipments,0.00,0.00,0.00,0.00,0.00,1.07,1.17,1.22,1.27,,
  └─ Computers,0.34,0.36,0.61,0.64,0.70,0.00,0.00,0.00,0.00,,
  └─ Furniture n fittings,0.99,0.96,1.36,1.38,1.57,2.01,2.03,2.08,2.10,,
  └─ Vehicles,0.69,0.98,2.02,2.18,2.14,2.45,2.36,2.38,2.60,,
  └─ Intangible Assets,0.00,0.03,0.03,0.03,0.03,0.03,0.00,0.03,0.03,0.10,0.71
  └─ Other fixed assets,3.35,4.04,4.21,4.50,6.44,0.15,0.29,0.22,0.23,,
  └─ Gross Block,59.04,63.93,83.76,89.66,120.57,127.55,128.35,138.08,152.67,,
  └─ Accumulated Depreciation,12.80,16.25,19.98,23.02,28.44,35.63,42.80,51.09,59.78,,
CWIP,2,0,7,0,-0,-0,-0,1,2,-0,-0
Investments,0,51,0,0,0,0,0,0,0,-0,-0
Other Assets,45,90,116,129,154,188,175,188,181,220,224
  └─ Inventories,20,30,67,77,89,97,89,112,96,89,96
  └─ Trade receivables,15,17,12,21,20,26,37,31,42,77,83
  └─ Cash Equivalents,3,2,4,3,6,13,4,4,4,9,13
  └─ Loans n Advances,3,22,20,16,35,7,1,10,4,3,3
  └─ Other asset items,4,19,12,13,3,45,44,30,34,42,28
Total Assets,93,189,187,196,246,280,260,275,276,322,329
