Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,20,26,26,26,26,26,26,26,26,26,26,26,97
Reserves,723,823,529,173,-809,-2231,-3044,-3309,-4215,-5330,-5078,-6439,246
Borrowings,3096,4187,3822,4114,4470,4727,4574,5150,5191,5466,4654,3040,1436
  └─ Long term Borrowings,2007,3137,2656,2721,2731,2097,2056,1534,1511,1606,1669,63,66
  └─ Short term Borrowings,843,711,958,1099,1267,1391,954,2769,2797,2830,2804,2795,1369
  └─ Preference Capital,5,2,0,16,32,36,36,41,41,296,238,244,0
  └─ Other Borrowings,241,336,209,278,439,1203,1528,806,842,734,-57,-63,
Other Liabilities,810,570,541,736,1283,1985,3198,3031,3894,4906,5964,6044,902
  └─ Non controlling int,82,74,-8,-23,-44,-60,-78,-115,-129,-179,-42,-2,-2
  └─ Trade Payables,329,157,113,195,198,161,140,174,177,48,40,32,42
  └─ Advance from Customers,192,126,174,58,61,69,50,39,6,6,11,5,
  └─ Other liability items,208,213,263,506,1067,1815,3086,2933,3840,5030,5955,6009,863
Total Liabilities,4649,5605,4918,5048,4969,4507,4754,4898,4896,5067,5566,2670,2681
Fixed Assets,2852,1240,1015,958,1314,1216,1126,908,883,859,91,89,87
  └─ Land,70.78,70.78,68.91,68.91,68.91,68.91,68.91,34.01,34.01,34.01,34.01,34.01,
  └─ Building,67.81,72.07,61.90,57.66,57.66,57.66,57.66,57.66,57.66,57.66,53.80,53.80,
  └─ Plant Machinery,330.68,351.35,166.47,166.58,166.69,166.81,165.15,154.32,154.43,154.43,154.54,158.36,
  └─ Equipments,1.83,2.17,1.12,1.13,1.17,1.18,1.18,0.80,0.81,0.87,0.89,0.94,
  └─ Computers,1.63,1.75,0.30,0.31,0.32,0.34,0.34,0.30,0.32,0.33,0.36,0.37,
  └─ Furniture n fittings,5.73,5.84,2.93,2.98,2.98,2.98,2.98,2.99,2.99,2.99,2.99,2.99,
  └─ Vehicles,14.57,16.27,2.93,2.93,2.93,2.93,2.93,2.64,2.64,2.64,2.64,2.64,
  └─ Intangible Assets,18.00,18.00,2.70,2.70,2.70,2.70,1180.15,2.70,2.70,2.70,0.00,0.00,0.00
  └─ Other fixed assets,2582.69,1020.34,773.53,755.45,1177.99,1177.98,0.53,823.38,823.39,823.39,0.21,0.00,
  └─ Gross Block,3093.72,1558.57,1080.79,1058.65,1481.35,1481.49,1479.83,1078.80,1078.95,1079.02,249.44,253.11,
  └─ Accumulated Depreciation,241.30,318.29,65.35,100.76,167.66,265.31,354.29,170.91,196.28,219.65,158.34,164.24,
CWIP,0,2269,1532,1826,1759,2052,2366,2563,2782,2854,3014,0,1
Investments,88,101,206,229,49,42,34,28,22,22,1448,1626,1626
Other Assets,1708,1994,2165,2036,1848,1196,1229,1399,1210,1331,1013,956,967
  └─ Inventories,123,130,85,78,47,36,35,36,37,35,36,6,3
  └─ Trade receivables,925,1034,1193,1021,1088,698,788,908,737,855,826,831,840
    └─ Receivables over 6m,350,437,0,0,0,0,0,926,630,1001,974,979,
    └─ Receivables under 6m,606,635,1243,1143,1183,804,898,91,234,4,2,2,
    └─ Prov for Doubtful,-30,-37,-50,-122,-95,-106,-111,-109,-127,-150,-150,-150,
  └─ Cash Equivalents,137,111,45,49,18,27,12,7,9,7,3,4,6
  └─ Loans n Advances,-3,-6,180,142,71,33,17,179,181,184,10,9,0
  └─ Other asset items,526,725,662,747,624,402,378,269,245,249,138,106,118
Total Assets,4649,5605,4918,5048,4969,4507,4754,4898,4896,5067,5566,2670,2681
