Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Equity Capital,526,526,526,526,612,612,612,612,612,61,61
Reserves,-639,-767,-830,-1026,-1134,-1358,-1538,-1674,-1935,-1626,-1757
Borrowings,756,768,842,860,837,829,829,828,822,823,829
  └─ Long term Borrowings,,,,,,587,587,587,587,587,587
  └─ Short term Borrowings,,,,,,17,17,16,10,11,17
  └─ Preference Capital,65,65,65,65,65,225,225,225,225,225,225
  └─ Other Borrowings,691,703,777,795,772,0,0,0,0,0,0
Other Liabilities,238,291,397,409,464,757,863,929,1130,1368,1477
  └─ Trade Payables,21,47,51,37,24,120,104,78,132,114,76
  └─ Advance from Customers,14,19,193,222,57,20,19,521,30,949,1216
  └─ Other liability items,203,226,153,150,383,616,740,331,968,305,185
Total Liabilities,881,817,935,769,780,840,766,696,629,626,610
Fixed Assets,716,670,783,695,632,715,643,568,497,454,448
  └─ Land,2,2,2,2,2,2,2,2,2,2,2
  └─ Building,27,28,28,26,26,27,27,27,27,27,28
  └─ Equipments,4,4,5,4,4,5,1049,1075,1120,1211,1297
  └─ Computers,20,21,24,24,24,24,21,30,32,33,34
  └─ Furniture n fittings,4,4,4,4,4,4,4,4,5,5,5
  └─ Vehicles,3,4,4,3,2,2,1,2,2,2,2
  └─ Intangible Assets,0,0,0,3,3,3,390,390,390,390,387
  └─ Other fixed assets,1049,1090,1295,1246,1262,1455,20,25,30,32,34
  └─ Gross Block,1109,1153,1362,1313,1328,1522,1515,1555,1608,1704,1789
  └─ Accumulated Depreciation,393,483,579,618,697,807,872,987,1111,1249,1341
CWIP,24,14,12,7,84,31,18,15,22,38,42
Investments,76,70,70,0,0,0,0,0,0,0,0
Other Assets,64,63,70,67,64,95,105,113,110,134,119
  └─ Inventories,1,-0,2,3,3,2,2,2,2,3,3
  └─ Trade receivables,41,41,41,34,28,50,54,52,48,53,50
    └─ Receivables over 6m,10,14,14,14,16,18,27,19,22,21,22
    └─ Receivables under 6m,40,40,40,33,27,47,43,51,46,50,51
    └─ Prov for Doubtful,-9,-13,-14,-13,-15,-15,-16,-17,-19,-18,-23
  └─ Cash Equivalents,12,12,11,12,13,9,12,25,10,19,25
  └─ Loans n Advances,-13,-13,-13,1,2,4,-0,13,17,18,9
  └─ Other asset items,24,22,28,18,18,30,37,22,33,41,32
Total Assets,881,817,935,769,780,840,766,696,629,626,610
