Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51
Reserves,9.75,9.50,9.48,12.28,9.65,9.13,9.02,9.10,8.72,6.73,6.02,6.21
Borrowings,0.09,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.02
  └─ Long term Borrowings,0.09,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
  └─ Other Borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.03,
Other Liabilities,0.85,0.80,0.81,1.56,0.05,0.04,0.05,0.04,0.03,0.03,0.04,0.02
  └─ Non controlling int,0.76,0.75,0.75,0.92,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
  └─ Trade Payables,0.03,0.03,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other liability items,0.06,0.02,0.02,0.61,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.02
Total Liabilities,12.20,11.90,11.89,15.44,11.21,10.68,10.58,10.65,10.26,8.33,7.60,7.76
Fixed Assets,0.22,0.12,0.08,0.04,0.02,0.02,0.02,0.02,0.02,0.07,0.04,0.03
  └─ Equipments,0.12,0.12,0.12,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
  └─ Computers,0.08,0.07,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Furniture n fittings,0.23,0.21,0.21,0.21,0.07,0.07,0.07,0.07,0.07,0.07,0.07,
  └─ Other fixed assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.05,
  └─ Gross Block,0.43,0.40,0.40,0.40,0.08,0.08,0.08,0.08,0.08,0.16,0.13,
  └─ Accumulated Depreciation,0.21,0.29,0.32,0.36,0.06,0.06,0.06,0.06,0.06,0.09,0.09,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,6.80,7.01,6.86,10.02,7.10,6.67,6.66,2.37,2.30,2.90,2.72,3.10
Other Assets,5.18,4.77,4.95,5.38,4.09,3.99,3.90,8.26,7.94,5.36,4.84,4.63
  └─ Cash Equivalents,1.19,0.58,0.58,0.62,0.13,0.10,0.12,4.53,4.21,3.87,3.62,3.35
  └─ Loans n Advances,0.02,0.01,0.01,0.01,0.06,0.06,0.06,0.04,0.02,0.03,0.02,0.01
  └─ Other asset items,3.97,4.18,4.36,4.75,3.90,3.83,3.72,3.69,3.71,1.46,1.20,1.27
Total Assets,12.20,11.90,11.89,15.44,11.21,10.68,10.58,10.65,10.26,8.33,7.60,7.76
