Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,1,1,1,15,15,15
Reserves,48,50,53,61,79,84,91
Borrowings,17,25,27,35,45,69,90
  └─ Long term Borrowings,1,3,3,6,4,4,9
  └─ Short term Borrowings,16,23,24,29,41,65,82
  └─ Other Borrowings,0,0,0,0,0,-0,
Other Liabilities,37,27,38,49,66,71,70
  └─ Trade Payables,30.72,16.64,26.44,35.89,34.47,41.80,35.29
  └─ Advance from Customers,0.00,5.06,4.64,7.34,11.82,7.91,
  └─ Other liability items,6.32,5.75,7.01,5.91,20.17,21.15,34.50
Total Liabilities,104,104,119,146,206,239,266
Fixed Assets,7,8,8,8,9,10,14
  └─ Land,0.07,0.07,0.07,0.07,0.07,0.07,
  └─ Building,9.49,10.31,10.31,11.00,11.76,12.03,
  └─ Plant Machinery,0.00,1.68,1.79,1.93,1.93,3.31,
  └─ Equipments,1.94,0.34,0.39,0.47,0.60,0.67,
  └─ Computers,0.34,0.39,0.47,0.73,0.85,0.99,
  └─ Furniture n fittings,0.33,0.33,0.56,0.56,0.59,0.44,
  └─ Vehicles,2.19,2.41,2.33,2.63,2.74,3.50,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.04
  └─ Other fixed assets,0.23,0.25,0.26,0.26,0.33,0.35,
  └─ Gross Block,14.59,15.78,16.18,17.65,18.87,21.36,
  └─ Accumulated Depreciation,7.14,8.01,8.67,9.28,10.27,11.03,
CWIP,0,0,0,0,0,2,0
Investments,1,2,2,2,1,0,0
Other Assets,95,94,109,136,196,226,252
  └─ Inventories,31,0,0,0,0,0,0
  └─ Trade receivables,37,33,51,53,69,67,72
    └─ Receivables over 6m,0.00,10.74,12.91,16.42,19.79,23.25,
    └─ Receivables under 6m,36.85,21.96,38.37,36.75,49.67,43.60,
  └─ Cash Equivalents,8,12,10,12,24,21,26
  └─ Loans n Advances,0,1,1,1,1,1,12
  └─ Other asset items,20,49,47,70,101,137,141
Total Assets,104,104,119,146,206,239,266
