Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2012
Equity Capital,13,13,13,14,15,15,15,16,16,16,16,35,
Reserves,107,95,88,98,106,103,112,124,136,160,186,245,
Borrowings,0,0,1,1,9,13,15,20,22,32,49,89,
  └─ Long term Borrowings,0,0,0,0,0,0,0,0,0,0,28,59,
  └─ Short term Borrowings,0,0,1,1,9,13,15,20,22,32,22,30,
  └─ Other Borrowings,0,0,0,0,0,0,0,0,0,0,0,,
Other Liabilities,7,8,11,15,13,12,61,50,46,32,61,89,
  └─ Non controlling int,0,0,0,1,2,2,2,1,-1,-1,-2,-3,
  └─ Trade Payables,2,4,6,8,4,7,54,43,41,26,54,80,
  └─ Other liability items,4,4,5,6,7,3,5,6,6,7,9,13,
Total Liabilities,127,117,113,128,144,143,203,210,220,240,313,458,
Fixed Assets,9,42,33,33,32,32,30,65,64,62,64,67,
  └─ Land,1.27,1.27,1.27,1.27,1.27,1.27,1.27,8.62,8.62,8.68,8.68,,
  └─ Building,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,4.00,4.00,4.17,,
  └─ Plant Machinery,12.71,13.39,13.92,14.43,15.93,16.53,16.66,53.50,48.23,48.34,51.97,,
  └─ Equipments,1.94,2.02,2.06,2.21,2.41,2.77,2.88,2.95,3.06,3.35,3.61,,
  └─ Computers,0.39,0.43,0.43,0.43,0.45,0.51,0.56,0.58,0.69,0.72,0.77,,
  └─ Furniture n fittings,1.10,1.25,1.25,1.46,1.57,1.82,1.83,1.84,2.32,2.40,3.73,,
  └─ Vehicles,1.07,1.07,1.13,1.27,1.33,1.44,1.46,1.46,1.83,2.08,2.08,,
  └─ Intangible Assets,0.00,42.13,42.13,42.85,42.13,42.13,42.13,42.13,42.13,42.13,42.13,17.96,
  └─ Other fixed assets,0.13,0.12,0.15,0.14,0.16,0.18,0.28,0.38,0.40,0.69,0.79,,
  └─ Gross Block,22.55,65.62,66.28,68.00,69.19,70.59,71.01,115.40,111.28,112.39,117.93,,
  └─ Accumulated Depreciation,13.16,23.21,32.97,35.03,37.06,39.06,41.05,50.86,47.06,50.41,53.52,,
CWIP,0,0,1,3,20,30,65,3,4,6,47,140,
Investments,72,49,53,56,53,52,60,71,62,72,72,75,
Other Assets,46,25,26,35,38,30,47,71,90,100,129,176,
  └─ Inventories,2,3,3,3,5,6,4,5,2,4,15,12,
  └─ Trade receivables,13,16,15,21,19,16,23,41,54,63,85,120,
    └─ Receivables over 6m,9,5,19,25,22,18,11,4,9,72,95,,15
    └─ Receivables under 6m,5,13,0,0,0,0,15,42,52,0,0,,0
    └─ Prov for Doubtful,-1,-2,-4,-4,-3,-2,-3,-4,-7,-9,-10,,-0
  └─ Cash Equivalents,5,3,2,5,8,3,12,10,20,20,10,17,
  └─ Loans n Advances,1,0,1,0,1,1,2,8,8,5,5,1,
  └─ Other asset items,25,4,6,7,5,5,7,6,5,8,14,26,
Total Assets,127,117,113,128,144,143,203,210,220,240,313,458,
