Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,93,93,95,192,192,192,213,213,213,213,213,213,
Reserves,-2435,-1856,-3437,-1899,-3199,-1074,-875,-821,-1094,-1651,-1888,-2890,
Borrowings,8897,9104,9875,7851,2902,3093,4447,5234,5569,5794,5889,7174,
  └─ Long term Borrowings,3925,3481,5046,2906,2175,1892,2567,2756,3058,3236,3129,3356,
  └─ Short term Borrowings,2627,1763,966,225,554,377,1865,2458,2491,2537,2738,3795,
  └─ Lease Liabilities,0,0,0,0,0,0,15,19,20,21,23,23,
  └─ Preference Capital,0,0,0,0,522,284,0,0,0,0,0,0,
  └─ Other Borrowings,2345,3860,3863,4721,-349,540,0,0,0,0,-0,,
Other Liabilities,4412,6174,6060,3854,9730,4460,3122,2477,2917,5807,4620,2915,
  └─ Non controlling int,2,2,2,-1965,-2554,0,-2,0,1,1,0,0,
  └─ Trade Payables,3296,4286,3921,3902,2819,2693,2695,2040,2315,5000,3950,2477,
  └─ Advance from Customers,202,0,719,452,21,37,44,54,151,126,88,,
  └─ Other liability items,913,1886,1417,1464,9445,1731,385,384,450,681,582,438,
Total Liabilities,10967,13515,12592,9998,9624,6670,6907,7103,7604,10163,8833,7412,
Fixed Assets,6008,7702,7587,6192,4023,3886,3776,4004,4296,4561,4493,4062,
  └─ Land,125,304,309,302,341,234,234,227,229,271,272,,
  └─ Building,912,1211,1088,1076,870,869,880,781,819,857,865,,
  └─ Plant Machinery,7034,8489,6257,6038,3689,3795,3976,2811,3290,3593,3779,,
  └─ Furniture n fittings,60,60,22,21,11,15,18,17,14,18,16,,
  └─ Vehicles,190,169,32,23,2,2,3,3,4,5,8,,
  └─ Intangible Assets,727,672,724,692,692,0,692,17,17,160,160,144,
  └─ Other fixed assets,24,49,1091,1368,12,254,258,252,254,247,247,,
  └─ Gross Block,9071,10953,9524,9519,5617,5169,6060,4109,4626,5152,5346,,
  └─ Accumulated Depreciation,3064,3252,1937,3327,1594,1283,2283,105,330,591,853,,
CWIP,33,37,35,29,100,142,7,217,114,50,21,24,
Investments,85,86,121,108,19,19,60,43,42,34,40,50,
Other Assets,4841,5690,4849,3669,5482,2623,3063,2839,3151,5517,4279,3276,
  └─ Inventories,2233,2094,1428,1031,1732,1679,2442,2073,2279,4477,3469,2603,
  └─ Trade receivables,617,722,1012,762,285,133,154,290,207,618,449,280,
    └─ Receivables over 6m,168,126,0,0,0,0,0,19,32,34,30,,180
    └─ Receivables under 6m,449,597,1012,762,375,222,172,290,195,606,448,,464
    └─ Prov for Doubtful,0,0,0,0,-90,-89,-18,-19,-20,-23,-29,,0
  └─ Cash Equivalents,130,54,58,57,34,75,87,76,185,54,79,60,
  └─ Loans n Advances,61,8,704,327,88,-43,47,41,106,51,17,18,
  └─ Other asset items,1800,2811,1647,1492,3344,780,333,360,375,318,264,315,
Total Assets,10967,13515,12592,9998,9624,6670,6907,7103,7604,10163,8833,7412,
