Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,32,26,26,24,24,24,24,24,23,23,23,23,
Reserves,589,555,663,684,803,920,1048,1312,1393,1652,1750,2000,
Borrowings,222,334,345,514,642,658,467,506,656,675,846,819,
  └─ Long term Borrowings,15,27,23,40,56,136,106,48,30,127,194,168,
  └─ Short term Borrowings,204,300,312,463,569,499,361,458,626,548,652,651,
  └─ Other Borrowings,4,8,10,11,16,23,0,0,0,0,0,,
Other Liabilities,147,91,120,164,157,214,237,268,292,342,378,408,
  └─ Non controlling int,6,5,4,4,6,8,12,18,27,39,41,44,
  └─ Trade Payables,68,17,40,55,44,67,112,142,145,92,113,102,
  └─ Advance from Customers,3,5,10,5,12,10,13,12,25,41,55,,
  └─ Other liability items,70,64,65,101,95,129,99,96,96,170,169,261,
Total Liabilities,991,1006,1154,1387,1626,1816,1776,2111,2364,2692,2996,3249,
Fixed Assets,158,163,203,245,319,480,424,420,438,738,855,858,
  └─ Land,10,67,12,15,16,16,16,16,17,58,58,,
  └─ Building,127,0,49,69,85,138,149,190,228,340,431,,
  └─ Plant Machinery,307,98,105,185,256,409,390,418,449,595,720,,
  └─ Equipments,0,2,1,2,3,4,4,5,6,8,9,,
  └─ Computers,7,2,2,5,6,7,8,10,14,19,23,,
  └─ Furniture n fittings,19,2,2,3,4,5,5,6,8,11,14,,
  └─ Vehicles,4,2,2,4,4,4,5,5,9,9,10,,
  └─ Intangible Assets,5,10,11,6,6,7,6,6,7,51,51,56,
  └─ Other fixed assets,4,2,23,32,53,60,56,35,34,41,36,,
  └─ Gross Block,483,185,207,322,434,649,639,690,772,1131,1352,,
  └─ Accumulated Depreciation,325,22,4,77,114,168,215,270,333,393,497,,
CWIP,4,12,17,53,54,20,12,17,40,14,33,14,
Investments,196,268,279,237,263,271,334,420,331,410,435,468,
Other Assets,633,563,655,851,989,1044,1005,1253,1555,1531,1673,1909,
  └─ Inventories,228,215,309,391,478,528,462,550,790,714,742,786,
  └─ Trade receivables,244,182,190,277,326,342,346,457,420,454,538,667,
    └─ Receivables over 6m,20,182,0,0,0,0,0,0,40,42,40,,15
    └─ Receivables under 6m,224,0,190,277,326,342,346,457,380,412,498,,264
  └─ Cash Equivalents,60,64,64,58,54,90,76,101,181,160,173,195,
  └─ Loans n Advances,2,3,6,7,9,9,11,37,25,18,20,29,
  └─ Other asset items,99,100,86,118,123,75,111,109,139,184,200,231,
Total Assets,991,1006,1154,1387,1626,1816,1776,2111,2364,2692,2996,3249,
