Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2021
Equity Capital,7.03,7.03,7.03,7.03,7.03,7.03,7.03,7.03,9.01,
Reserves,6.29,6.60,6.84,7.26,7.60,8.63,12.16,13.98,21.28,
Borrowings,4.36,4.31,4.14,4.79,4.41,5.64,4.89,2.82,11.92,
  └─ Long term Borrowings,1.35,1.32,0.90,1.45,0.67,0.24,0.04,0.50,6.09,1.45
  └─ Short term Borrowings,2.66,2.33,2.62,3.33,3.74,5.40,4.85,2.32,5.83,2.61
  └─ Other Borrowings,0.35,0.66,0.62,0.01,0.00,0.00,0.00,0.00,,
Other Liabilities,0.59,8.71,5.01,1.02,1.29,2.01,1.29,1.33,3.35,
  └─ Trade Payables,0.37,2.20,4.74,0.73,0.89,1.55,0.77,0.39,2.08,0.73
  └─ Advance from Customers,0.00,5.67,0.00,0.02,0.13,0.01,0.00,0.14,,
  └─ Other liability items,0.22,0.84,0.27,0.27,0.27,0.45,0.52,0.80,1.27,1.01
Total Liabilities,18.27,26.65,23.02,20.10,20.33,23.31,25.37,25.16,45.56,
Fixed Assets,3.77,4.79,4.12,4.06,3.68,3.31,3.13,5.09,4.72,
  └─ Land,0.08,0.83,0.83,0.83,0.83,0.83,0.83,0.83,,
  └─ Building,1.23,1.66,1.66,1.67,1.67,1.67,1.75,1.86,,
  └─ Plant Machinery,3.33,3.85,3.77,3.70,3.85,3.86,3.98,6.37,,
  └─ Computers,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,,
  └─ Furniture n fittings,0.06,0.07,0.07,0.09,0.09,0.09,0.09,0.10,,
  └─ Vehicles,0.50,0.50,0.50,0.50,0.39,0.47,0.47,0.47,,
  └─ Other fixed assets,0.00,0.00,0.01,-0.01,-0.01,-0.01,0.00,-0.01,,
  └─ Gross Block,5.22,6.93,6.86,6.81,6.85,6.94,7.15,9.66,,
  └─ Accumulated Depreciation,1.45,2.14,2.75,2.76,3.17,3.62,4.02,4.57,,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.43,
Investments,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Other Assets,14.50,21.86,18.90,16.04,16.65,20.00,22.24,20.07,26.41,
  └─ Inventories,5.86,3.99,6.66,7.77,9.05,11.25,12.51,8.00,16.20,7.77
  └─ Trade receivables,1.01,6.16,6.46,2.53,3.38,6.73,7.91,9.39,3.12,2.53
    └─ Receivables over 6m,0.88,0.02,0.18,1.19,0.00,2.21,0.43,0.27,,
    └─ Receivables under 6m,0.13,6.15,6.27,1.34,3.38,4.52,7.48,9.11,,
  └─ Cash Equivalents,0.72,0.76,0.19,0.41,0.43,0.58,0.61,1.64,1.53,0.41
  └─ Loans n Advances,2.06,5.70,0.55,0.08,0.31,1.19,0.42,0.05,4.77,5.23
  └─ Other asset items,4.85,5.25,5.04,5.25,3.48,0.25,0.79,0.99,0.79,0.09
Total Assets,18.27,26.65,23.02,20.10,20.33,23.31,25.37,25.16,45.56,
