Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,2,1,1,1,1,1,1,1,1,1,1
Reserves,107,91,108,136,165,189,205,218,244,265,304
Borrowings,0,0,0,0,0,0,4,3,2,1,0
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,3.79,2.94,1.94,0.75,0.00
Other Liabilities,55,50,78,88,67,86,127,133,172,169,170
  └─ Trade Payables,18,21,33,30,19,23,38,42,46,56,57
  └─ Advance from Customers,26,22,36,48,37,49,54,77,109,89,
  └─ Other liability items,11,7,9,9,11,14,34,14,17,24,113
Total Liabilities,163,143,187,225,234,277,337,355,420,437,475
Fixed Assets,24,23,22,22,23,26,36,48,46,61,64
  └─ Land,3.50,3.28,3.29,3.29,3.33,3.33,3.33,3.33,3.33,21.35,
  └─ Building,17.60,17.08,17.08,17.18,17.93,23.49,30.13,40.84,39.93,31.75,
  └─ Plant Machinery,25.23,25.28,25.64,26.57,26.64,26.45,30.32,31.51,32.05,32.79,
  └─ Equipments,3.55,3.80,4.02,4.18,4.39,4.96,4.55,5.26,5.24,5.71,
  └─ Computers,2.31,2.42,2.37,3.38,3.47,3.24,3.24,3.57,3.70,3.43,
  └─ Furniture n fittings,1.28,1.09,1.09,1.25,1.34,2.07,1.99,3.21,3.18,3.32,
  └─ Vehicles,0.74,0.73,0.73,0.89,0.89,0.86,0.86,0.86,1.55,1.18,
  └─ Intangible Assets,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,-0.00,0.10
  └─ Other fixed assets,2.03,2.32,2.89,2.89,5.55,3.04,3.62,3.62,1.32,9.39,
  └─ Gross Block,56.84,56.60,57.71,60.23,64.14,68.04,78.64,92.80,90.90,108.92,
  └─ Accumulated Depreciation,32.64,33.87,36.07,38.27,40.93,42.03,42.50,44.94,44.93,47.71,
CWIP,0,0,0,0,0,0,4,0,1,0,29
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets,139,121,165,203,210,251,297,307,373,375,383
  └─ Inventories,39,37,47,65,56,29,52,53,84,77,76
  └─ Trade receivables,11,10,14,21,20,20,36,48,31,43,71
  └─ Cash Equivalents,67,55,81,100,112,172,194,183,239,210,216
  └─ Loans n Advances,1,1,2,4,6,5,3,3,4,4,5
  └─ Other asset items,20,18,20,13,17,24,12,20,15,41,14
Total Assets,163,143,187,225,234,277,337,355,420,437,475
