Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,9,9,9
Reserves,367,395,432
Borrowings,18,14,9
  └─ Long term Borrowings,4.50,1.74,0.77
  └─ Short term Borrowings,12.08,12.39,7.29
  └─ Lease Liabilities,1.19,0.31,0.57
Other Liabilities,95,86,99
  └─ Non controlling int,0,0,0
  └─ Trade Payables,40,35,42
  └─ Advance from Customers,7,4,
  └─ Other liability items,47,47,56
Total Liabilities,488,504,549
Fixed Assets,192,187,189
  └─ Land,30,30,
  └─ Building,22,26,
  └─ Plant Machinery,131,137,
  └─ Equipments,6,7,
  └─ Furniture n fittings,4,5,
  └─ Vehicles,4,4,
  └─ Intangible Assets,67,67,67
  └─ Other fixed assets,3,3,
  └─ Gross Block,267,280,
  └─ Accumulated Depreciation,75,93,
CWIP,1,1,9
Investments,0,105,122
Other Assets,295,210,229
  └─ Inventories,97,97,103
  └─ Trade receivables,61,71,76
    └─ Receivables over 6m,5,5,
    └─ Receivables under 6m,58,69,
    └─ Prov for Doubtful,-1,-3,
  └─ Cash Equivalents,14,15,14
  └─ Loans n Advances,3,3,3
  └─ Other asset items,120,25,34
Total Assets,488,504,549
