Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Sep 2018
Equity Capital,3,3,3,3,3,11,14,15,15,15
Reserves,-10,-2,-1,1,4,26,161,192,223,235
Borrowings,19,9,14,18,17,33,98,158,218,243
  └─ Long term Borrowings,,,,,0,3,63,52,45,41
  └─ Short term Borrowings,,,,,0,30,33,99,166,202
  └─ Other Borrowings,19,9,14,18,17,0,3,7,7,
Other Liabilities,8,8,9,8,9,25,48,131,137,158
  └─ Trade Payables,7,7,0,0,0,17,35,102,91,100
  └─ Advance from Customers,0,0,0,0,0,0,0,1,3,
  └─ Other liability items,0,1,9,8,9,8,13,28,43,58
Total Liabilities,19,18,24,29,33,95,322,496,593,652
Fixed Assets,8,7,6,6,6,8,166,164,160,157
  └─ Land,0.00,0.00,0.00,0.00,0.00,0.02,28.23,22.53,22.53,
  └─ Building,0.00,0.00,0.00,0.00,0.00,3.25,63.73,59.98,59.98,
  └─ Plant Machinery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.57,106.01,
  └─ Equipments,0.00,0.00,0.00,0.00,0.00,16.96,99.38,2.58,3.11,
  └─ Computers,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.96,2.96,
  └─ Furniture n fittings,0.00,0.00,0.00,0.00,0.00,0.39,1.28,1.32,1.37,
  └─ Vehicles,0.00,0.00,0.00,0.00,0.00,2.40,3.49,4.08,5.19,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47
  └─ Other fixed assets,19.42,19.12,19.31,19.84,21.10,0.68,5.35,14.94,14.94,
  └─ Gross Block,19.42,19.12,19.31,19.84,21.10,23.70,201.46,208.96,216.09,
  └─ Accumulated Depreciation,11.73,12.51,13.39,14.21,15.24,15.48,35.23,45.25,55.73,
CWIP,0,0,0,0,0,0,7,5,4,3
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,12,11,18,24,27,87,149,328,428,492
  └─ Inventories,3,4,7,8,8,35,45,100,128,138
  └─ Trade receivables,6,4,6,10,14,37,51,161,227,241
  └─ Cash Equivalents,1,2,2,2,2,3,7,9,12,12
  └─ Loans n Advances,0,0,0,0,0,9,28,17,27,3
  └─ Other asset items,2,1,3,3,3,3,18,41,35,99
Total Assets,19,18,24,29,33,95,322,496,593,652
