Metric,Jun 2012,Jun 2013,Jun 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,41.35,41.35,41.35,41.35,41.35,41.35,41.35,41.35,41.35,41.35,41.35,41.35
Reserves,142.55,149.92,156.27,136.69,135.59,120.70,8.44,-10.31,-4.07,-4.46,-4.25,-5.37
Borrowings,98.59,119.80,118.52,192.98,12.50,18.55,18.54,30.97,27.03,27.36,33.12,34.23
  └─ Long term Borrowings,,,,,,,,1.88,0.28,0.28,0.28,0.00
  └─ Short term Borrowings,,,,,,,,23.68,26.75,27.08,32.84,34.23
  └─ Other Borrowings,98.59,119.80,118.52,192.98,12.50,18.55,18.54,5.41,0.00,0.00,0.00,
Other Liabilities,179.34,225.33,178.88,73.35,28.73,32.83,33.00,37.90,31.65,33.93,34.96,40.13
  └─ Non controlling int,23.39,22.01,22.44,20.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Trade Payables,39.74,95.43,55.52,32.29,11.56,11.77,8.44,1.94,1.11,1.10,0.07,0.10
  └─ Advance from Customers,97.90,84.95,86.72,7.76,3.25,3.25,4.18,5.86,13.02,0.00,0.00,
  └─ Other liability items,18.31,22.94,14.20,13.00,13.92,17.81,20.38,30.10,17.52,32.83,34.89,40.03
Total Liabilities,461.83,536.40,495.02,444.37,218.17,213.43,101.33,99.91,95.96,98.18,105.18,110.34
Fixed Assets,101.52,98.70,96.52,93.82,66.03,66.02,66.01,66.00,66.00,66.00,66.00,66.01
  └─ Land,77.36,77.36,77.36,77.36,65.66,65.66,65.66,65.66,65.66,65.66,65.66,
  └─ Building,0.00,0.45,0.57,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Plant Machinery,48.99,49.04,49.56,48.49,0.02,0.02,0.02,0.02,0.02,0.02,0.03,
  └─ Equipments,0.74,0.52,0.60,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Computers,0.75,0.75,0.79,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Furniture n fittings,0.94,0.91,0.96,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Vehicles,1.17,1.17,1.17,1.08,0.08,0.08,0.08,0.08,0.08,0.00,0.00,
  └─ Intangible Assets,0.38,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
  └─ Other fixed assets,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Gross Block,130.34,130.59,131.35,130.19,66.10,66.10,66.10,66.10,66.10,66.02,66.03,
  └─ Accumulated Depreciation,28.83,31.88,34.82,36.37,0.07,0.08,0.09,0.11,0.11,0.03,0.03,
CWIP,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
Investments,80.28,80.10,80.10,58.27,71.31,71.31,0.00,0.00,0.00,0.00,0.64,0.00
Other Assets,277.33,354.90,315.70,289.58,78.13,73.40,32.62,31.21,27.26,29.48,35.84,41.63
  └─ Inventories,122.44,194.81,153.39,106.04,9.25,9.25,9.25,9.25,3.27,0.00,0.00,0.00
  └─ Trade receivables,30.75,4.83,32.68,40.65,18.59,18.43,13.94,0.00,0.00,0.76,0.00,0.00
  └─ Cash Equivalents,3.10,4.07,8.20,3.85,0.26,0.11,0.27,0.11,0.08,0.07,0.25,0.14
  └─ Loans n Advances,41.58,68.55,25.34,0.09,0.05,0.01,0.01,0.70,0.00,21.65,30.20,0.00
  └─ Other asset items,79.46,82.64,96.09,138.95,49.98,45.60,9.15,21.15,23.91,7.00,5.39,41.49
Total Assets,461.83,536.40,495.02,444.37,218.17,213.43,101.33,99.91,95.96,98.18,105.18,110.34
