Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,100,100,100,114,114,126,126
Reserves,327,701,833,1556,1684,2646,2737
Borrowings,2514,1220,1563,1030,1101,930,1484
  └─ Long term Borrowings,291,192,142,103,609,259,417
  └─ Short term Borrowings,2223,1028,1416,921,476,646,1046
  └─ Lease Liabilities,0,0,5,6,16,26,21
  └─ Preference Capital,0,0,0,0,1,1,0
  └─ Other Borrowings,0,-0,0,0,-1,-1,
Other Liabilities,1474,1633,1382,1816,3033,2894,2375
  └─ Non controlling int,-147,23,31,17,-4,13,31
  └─ Trade Payables,277,235,305,353,642,792,1045
  └─ Advance from Customers,829,906,644,1099,1925,1639,
  └─ Other liability items,515,469,402,346,469,451,1299
Total Liabilities,4415,3654,3877,4515,5932,6596,6723
Fixed Assets,195,29,33,39,355,375,366
  └─ Land,1,1,1,1,1,1,
  └─ Building,0,0,7,12,39,56,
  └─ Plant Machinery,5,4,4,5,20,20,
  └─ Equipments,0,0,0,0,1,6,
  └─ Computers,2,1,1,3,3,5,
  └─ Furniture n fittings,1,1,1,1,2,4,
  └─ Vehicles,2,1,1,2,6,6,
  └─ Intangible Assets,155,16,16,16,318,318,318
  └─ Other fixed assets,40,14,14,14,14,14,
  └─ Gross Block,207,39,46,55,404,432,
  └─ Accumulated Depreciation,12,9,13,15,49,56,
CWIP,0,0,-0,-0,-0,-0,-0
Investments,5,595,575,642,456,484,546
Other Assets,4215,3029,3268,3834,5121,5737,5811
  └─ Inventories,2765,2193,2254,2570,3710,3861,3669
  └─ Trade receivables,64,37,114,62,105,83,339
    └─ Receivables over 6m,19.59,22.31,21.56,10.59,17.16,42.29,
    └─ Receivables under 6m,44.31,14.39,92.03,51.31,88.12,43.09,
    └─ Prov for Doubtful,0.00,0.00,0.00,-0.26,-0.51,-1.93,
  └─ Cash Equivalents,392,283,234,412,366,846,882
  └─ Loans n Advances,372,170,345,275,343,375,125
  └─ Other asset items,621,348,321,515,596,572,795
Total Assets,4415,3654,3877,4515,5932,6596,6723
