Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,987,987,1975,1975,1975,1975,1975,1975,2633,2633,2633,2633,
Reserves,24085,27906,31696,30613,32571,33422,41789,49339,55487,66717,75743,82421,
Borrowing,150979,169212,167852,204367,244249,286289,329723,333043,380790,445568,496243,514725,
Other Liabilities,7404,8840,8723,5416,19659,25345,27380,26503,26592,33273,39883,40378,
  └─ Trade Payables,31,118,160,63,67,46,62,36,42,91,134,180,
  └─ Advance from Customers,0,0,0,0,0,0,0,0,0,0,0,,
  └─ Other liability items,7373,8722,8562,5352,19591,25299,27318,26467,26551,33183,39749,40199,
Total Liabilities,183456,206945,210245,242370,298454,347030,400867,410860,465503,548191,614502,640158,
Fixed Assets,110,254,355,132,165,166,267,628,641,632,629,616,
  └─ Land,36.20,82.55,89.51,84.51,111.98,111.98,111.98,111.98,111.98,111.98,111.98,,
  └─ Building,33.71,33.17,31.59,34.10,34.22,36.87,130.40,430.83,456.90,456.90,454.44,,
  └─ Plant Machinery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.90,20.06,20.45,20.45,,
  └─ Equipments,43.36,158.29,291.07,17.60,19.90,20.98,17.86,24.15,25.52,26.74,27.74,,
  └─ Computers,17.41,18.81,18.21,18.20,22.45,22.94,24.33,26.71,26.58,32.17,38.44,,
  └─ Furniture n fittings,7.30,8.12,8.63,9.38,10.99,11.99,20.89,67.75,67.69,67.27,67.04,,
  └─ Vehicles,0.46,0.43,0.43,0.40,0.40,0.40,0.40,0.40,0.54,0.71,0.50,,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.01,
  └─ Other fixed assets,7.06,7.18,7.47,12.48,17.39,13.75,13.81,14.81,14.72,14.71,18.78,,
  └─ Gross Block,145.50,308.55,446.91,176.67,217.33,218.91,319.67,696.53,723.99,730.93,739.37,,
  └─ Accumulated Depreciation,35.53,54.47,92.06,44.91,52.14,53.11,52.81,68.21,83.19,99.43,110.53,,
CWIP,10,78,166,129,199,288,336,6,3,24,76,128,
Investments,1596,2352,2617,2948,2463,2386,1981,2190,3170,5352,6674,9831,
Other Assets,181740,204261,207108,239162,295627,344190,398282,408035,461689,542184,607123,629583,
  └─ Inventories,0,67,51,0,0,0,0,0,0,0,0,0,
  └─ Trade receivables,120,232,438,134,138,111,140,95,113,154,235,293,
    └─ Receivables over 6m,53,96,216,0,0,0,0,0,125,128,199,,11
    └─ Receivables under 6m,70,142,225,170,176,174,227,177,98,85,125,,51
    └─ Prov for Doubtful,-3,-6,-3,-36,-38,-63,-86,-83,-110,-60,-88,,-1
  └─ Cash Equivalents,646,1864,4651,2195,2115,3975,3403,2660,2396,2962,2343,1611,
  └─ Loans n Advances,15140,42651,19462,53,330,445,214,146,269,323,351,579243,
  └─ Other asset items,165834,159448,182505,236780,293045,339659,394526,405135,458912,538745,604194,48436,
Total Assets,183456,206945,210245,242370,298454,347030,400867,410860,465503,548191,614502,640158,
