Metric,Mar 2010,Jun 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Equity Capital,97,97,97,157,157,157,157,157,157,157,157,157,157
Reserves,1316,1509,1139,796,273,-874,-5160,-6127,-6570,-7560,-7655,-7588,-7266
Borrowings,2374,4189,4329,4784,4008,3300,260,127,141,157,174,194,6582
  └─ Long term Borrowings,,3393,4036,3120,2256,1869,114,127,141,157,174,194,204
  └─ Short term Borrowings,,126,293,256,258,278,7,0,0,0,0,0,6377
  └─ Lease Liabilities,,0,0,0,0,0,0,0,0,0,0,0,1
  └─ Preference Capital,0,0,0,650,650,650,0,0,0,0,0,0,0
  └─ Other Borrowings,2374,671,0,757,844,503,139,0,0,0,0,0,
Other Liabilities,937,1705,2625,2472,3167,4111,7149,7433,7270,7556,7588,7434,788
  └─ Non controlling int,0,1,1,1,0,-0,0,0,0,0,0,0,0
  └─ Trade Payables,739,1398,576,397,225,414,198,113,38,58,21,11,18
  └─ Advance from Customers,37,97,31,49,28,17,17,4,2,2,2,2,
  └─ Other liability items,160,209,2017,2025,2914,3680,6934,7316,7230,7496,7565,7421,770
Total Liabilities,4723,7500,8190,8208,7606,6695,2407,1591,998,310,265,197,261
Fixed Assets,340,566,597,512,419,249,141,99,83,79,79,76,77
  └─ Land,0.76,0.76,0.97,0.97,4.12,4.11,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Building,59.57,87.55,91.43,91.43,91.56,92.21,79.01,77.96,77.96,77.96,77.96,79.23,
  └─ Plant Machinery,80.56,288.15,381.80,456.26,471.90,440.95,107.42,111.21,111.22,111.22,111.22,110.94,
  └─ Equipments,39.04,46.08,22.88,27.67,28.45,28.42,9.02,9.01,9.19,9.19,9.28,10.01,
  └─ Computers,46.46,51.20,407.58,415.46,415.10,409.54,41.09,0.85,1.18,1.18,1.19,1.24,
  └─ Furniture n fittings,25.64,27.04,31.44,31.20,31.77,32.27,5.61,4.09,4.10,4.10,4.83,4.42,
  └─ Vehicles,3.15,2.88,2.73,2.88,2.53,2.62,0.74,1.13,1.26,1.26,1.45,1.45,
  └─ Intangible Assets,25.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.73
  └─ Other fixed assets,326.48,429.38,124.92,127.09,137.22,137.10,1.12,40.52,41.75,41.85,45.11,45.13,
  └─ Gross Block,607.36,933.04,1063.75,1152.96,1182.65,1147.22,244.01,244.77,246.66,246.76,251.04,252.42,
  └─ Accumulated Depreciation,267.16,367.08,466.83,640.95,763.48,898.28,103.05,145.92,163.26,167.80,172.32,176.53,
CWIP,99,249,181,106,118,64,0,0,0,0,0,0,0
Investments,591,2452,2329,2291,3245,3167,701,416,842,184,51,51,51
Other Assets,3693,4233,5082,5298,3823,3215,1565,1076,73,47,135,70,133
  └─ Inventories,256,399,432,406,122,98,11,6,0,0,0,0,0
  └─ Trade receivables,368,1019,1148,1269,913,551,212,77,1,0,0,0,19
  └─ Cash Equivalents,1574,794,130,143,210,139,119,102,20,8,87,8,17
  └─ Loans n Advances,74,1453,2460,415,477,254,181,204,-15,-46,-39,15,1
  └─ Other asset items,1422,568,914,3066,2100,2173,1042,687,67,85,86,47,97
Total Assets,4723,7500,8190,8208,7606,6695,2407,1591,998,310,265,197,261
