Metric,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Dec 2015
Equity Capital,27,27,27,27,27,27,27,27,27,27,27,27,
Reserves,2489,3626,5318,7003,8891,9954,11411,12581,14963,18018,21269,25073,
Borrowings,58,23,112,151,187,249,219,108,288,419,458,514,
  └─ Long term Borrowings,,0,0,0,0,0,0,0,63,163,184,202,0
  └─ Short term Borrowings,,23,112,151,187,144,157,59,133,112,82,117,102
  └─ Lease Liabilities,,0,0,0,0,105,62,49,93,144,192,195,0
Other Liabilities,3829,1263,1552,2341,2281,2220,2901,3424,3919,4650,5420,6549,
  └─ Non controlling int,,0,0,0,0,0,0,0,0,0,0,0,1174
  └─ Trade Payables,,723,765,1172,1234,1008,1513,1788,1810,2090,2530,2738,2086
  └─ Advance from Customers,,242,292,141,93,61,137,148,126,0,0,,
  └─ Other liability items,,298,495,1029,954,1151,1251,1488,1982,2560,2890,3811,1368
Total Liabilities,6403,4939,7009,9522,11387,12450,14559,16140,19198,23115,27174,32164,
Fixed Assets,2309,790,873,1502,1875,2378,2433,2424,2690,2914,3473,4385,
  └─ Land,,86,86,86,86,182,232,230,230,227,226,,
  └─ Building,,177,230,484,644,871,866,867,1051,1086,1396,,
  └─ Plant Machinery,,663,795,1303,1548,1928,2088,2336,2598,2744,3055,,
  └─ Equipments,,51,68,110,140,188,204,226,266,231,273,,
  └─ Furniture n fittings,,11,14,21,28,34,38,37,39,42,44,,
  └─ Vehicles,,19,30,48,64,81,97,122,137,180,224,,
  └─ Intangible Assets,,0,0,0,0,0,0,0,0,0,0,1708,0
  └─ Other fixed assets,,53,72,93,258,301,523,588,820,1177,1501,,
  └─ Gross Block,,1061,1295,2144,2767,3585,4049,4405,5142,5687,6718,,
  └─ Accumulated Depreciation,,271,422,643,893,1208,1616,1981,2452,2772,3245,,
CWIP,419,94,374,333,450,312,314,505,472,555,491,203,
Investments,1078,3388,4987,5581,4923,5749,3902,7721,12321,13527,14791,17496,
Other Assets,2597,667,775,2106,4140,4011,7909,5490,3715,6119,8419,10080,
  └─ Inventories,,308,336,395,633,572,875,1132,1278,1410,1564,1968,885
  └─ Trade receivables,,33,50,68,84,87,158,302,369,374,550,354,783
  └─ Cash Equivalents,,49,25,1212,2965,2951,5830,2722,766,146,263,256,569
  └─ Loans n Advances,,39,39,64,82,99,594,867,835,680,725,3388,976
  └─ Other asset items,,237,326,368,375,303,452,466,467,3509,5317,4114,106
Total Assets,6403,4939,7009,9522,11387,12450,14559,16140,19198,23115,27174,32164,
