Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,42,42,42,42,42,42,42,42,42,63,68,68,
Reserves,103,123,120,-408,-423,-440,-461,-487,-487,4,177,199,
Borrowings,481,488,464,533,540,547,629,634,597,179,52,264,
  └─ Long term Borrowings,410,486,460,529,538,545,542,547,509,167,47,245,
  └─ Short term Borrowings,5,2,4,4,1,1,1,1,2,12,6,19,
  └─ Other Borrowings,66,0,0,0,-0,0,86,86,86,0,0,,
Other Liabilities,232,266,301,274,283,280,194,192,199,82,15,26,
  └─ Trade Payables,20.20,22.60,23.22,30.10,31.42,30.45,30.08,20.34,21.28,8.28,5.48,7.80,
  └─ Advance from Customers,0.00,0.00,0.00,0.00,0.17,0.10,0.02,0.09,0.00,1.47,0.82,,
  └─ Other liability items,212.04,243.78,277.44,243.53,251.18,249.70,164.23,171.98,178.15,72.48,8.67,18.16,
Total Liabilities,858,920,927,442,441,429,405,381,352,328,312,557,
Fixed Assets,177,195,187,282,273,263,249,230,222,214,178,405,
  └─ Land,17,38,38,38,39,39,39,39,39,39,14,,
  └─ Building,174,174,174,208,208,208,208,197,201,204,198,,
  └─ Plant Machinery,23,25,26,72,72,72,72,64,63,117,123,,
  └─ Equipments,0,0,1,1,1,1,1,0,0,0,0,,
  └─ Computers,1,1,1,1,1,1,1,0,0,0,0,,
  └─ Furniture n fittings,81,87,87,108,108,108,108,102,98,85,79,,
  └─ Vehicles,9,9,8,3,3,3,3,3,3,3,3,,
  └─ Intangible Assets,0,0,0,0,0,0,0,0,0,0,0,59,
  └─ Other fixed assets,43,46,45,42,42,42,42,41,37,0,0,,
  └─ Gross Block,348,380,380,472,474,474,474,447,442,448,418,,
  └─ Accumulated Depreciation,171,184,193,190,201,212,226,216,220,234,240,,
CWIP,358,408,437,92,92,92,100,100,57,37,15,57,
Investments,125,135,130,0,0,0,0,0,0,0,30,1,
Other Assets,198,181,174,68,76,74,56,51,74,77,88,94,
  └─ Inventories,1,2,2,2,2,2,1,1,1,1,1,1,
  └─ Trade receivables,24,24,12,12,14,12,9,6,9,8,7,6,
    └─ Receivables over 6m,24.11,23.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.49,,0.00
    └─ Receivables under 6m,0.00,0.00,12.20,11.59,13.79,11.98,9.04,5.65,9.22,7.38,6.52,,19.33
  └─ Cash Equivalents,4,1,4,-1,6,0,1,3,13,30,7,19,
  └─ Loans n Advances,5,5,8,4,4,6,5,6,13,13,2,15,
  └─ Other asset items,164,149,148,51,50,54,40,35,37,25,71,53,
Total Assets,858,920,927,442,441,429,405,381,352,328,312,557,
