Metric,Mar 2005,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,9.00,9.00,9.00,9.00,9.00,30.36,39.85,41.90,42.27,42.27
Reserves,-4.20,-6.29,-6.99,-6.76,-6.62,10.69,57.11,116.04,123.77,126.20
Borrowings,1.31,3.25,4.50,3.56,2.45,0.00,1.08,1.08,1.08,0.68
  └─ Long term Borrowings,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,0.00,0.00
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,1.08,0.68
  └─ Other Borrowings,1.31,3.25,4.50,3.56,2.45,0.00,-0.01,0.00,0.00,
Other Liabilities,2.19,1.48,1.55,0.92,0.69,0.06,17.52,167.75,174.70,187.95
  └─ Non controlling int,0,0,0,0,0,0,0,7,7,7
  └─ Trade Payables,0,0,1,1,0,0,4,151,131,128
  └─ Advance from Customers,0,0,0,0,0,0,0,6,0,
  └─ Other liability items,2,1,1,0,0,0,14,3,37,53
Total Liabilities,8.30,7.44,8.06,6.72,5.52,41.11,115.56,326.77,341.82,357.10
Fixed Assets,2.88,2.22,1.59,1.03,0.65,0.00,6.12,15.57,15.24,15.05
  └─ Building,0.79,0.79,0.79,0.79,0.79,0.00,0.00,0.00,0.00,
  └─ Plant Machinery,0.18,0.19,0.24,0.25,0.25,0.00,0.00,0.00,0.00,
  └─ Equipments,0.36,0.39,0.43,0.43,0.44,0.00,0.14,0.00,0.00,
  └─ Computers,4.29,4.35,4.39,4.44,4.45,0.00,0.35,0.17,0.22,
  └─ Furniture n fittings,0.53,0.53,0.54,0.57,0.56,0.03,0.27,0.87,0.87,
  └─ Vehicles,0.68,0.45,0.45,0.40,0.40,0.00,0.11,0.00,0.00,
  └─ Intangible Assets,0.00,0.00,0.00,0.09,0.00,0.00,5.46,13.58,13.58,13.58
  └─ Other fixed assets,0.00,0.00,0.00,0.00,0.00,0.00,0.53,1.01,0.69,
  └─ Gross Block,6.83,6.70,6.84,6.97,6.89,0.03,6.86,15.63,15.36,
  └─ Accumulated Depreciation,3.95,4.48,5.25,5.94,6.24,0.03,0.75,0.06,0.12,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,3.80,0.00,7.58,7.58
Investments,2.08,2.08,2.08,2.28,2.09,0.00,0.00,0.00,0.00,0.00
Other Assets,3.34,3.14,4.39,3.41,2.78,41.11,105.64,311.20,319.00,334.47
  └─ Trade receivables,1,1,3,2,1,0,8,176,143,135
  └─ Cash Equivalents,0,0,0,0,0,12,1,1,0,0
  └─ Loans n Advances,0,0,0,0,0,8,74,105,91,75
  └─ Other asset items,2,2,1,1,1,21,22,29,85,125
Total Assets,8.30,7.44,8.06,6.72,5.52,41.11,115.56,326.77,341.82,357.10
