Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,10
Reserves,67,134,133,170
Borrowings,34,68,69,65
  └─ Long term Borrowings,16.28,30.53,29.27,20.78
  └─ Short term Borrowings,16.41,21.50,20.02,44.09
  └─ Other Borrowings,1.25,16.06,19.58,
Other Liabilities,4,10,23,15
  └─ Non controlling int,0.00,0.02,0.09,1.58
  └─ Trade Payables,0.00,0.00,12.29,1.58
  └─ Advance from Customers,0.37,0.36,1.48,
  └─ Other liability items,4.11,9.13,9.16,11.84
Total Liabilities,115,222,235,261
Fixed Assets,26,74,67,57
  └─ Land,4.85,4.85,4.85,
  └─ Building,5.42,9.58,9.77,
  └─ Plant Machinery,15.28,45.14,53.01,
  └─ Equipments,0.86,1.34,1.86,
  └─ Computers,0.19,0.20,0.23,
  └─ Furniture n fittings,0.48,0.93,1.14,
  └─ Vehicles,7.38,27.97,26.91,
  └─ Other fixed assets,0.01,0.00,0.00,
  └─ Gross Block,34.47,90.01,97.77,
  └─ Accumulated Depreciation,8.80,16.32,30.59,
CWIP,8,8,13,13
Investments,-0,-0,-0,-0
Other Assets,81,140,155,191
  └─ Inventories,37,85,128,151
  └─ Trade receivables,14,34,10,18
    └─ Receivables over 6m,1.10,0.86,1.09,
    └─ Receivables under 6m,12.49,33.58,8.52,
  └─ Cash Equivalents,0,5,0,1
  └─ Loans n Advances,6,5,4,0
  └─ Other asset items,25,11,12,20
Total Assets,115,222,235,261
