Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10.13,10.13,10.13,17.80,30.85
Reserves,8.28,12.26,10.16,18.92,32.20
Borrowings,17.27,21.85,45.82,15.06,18.78
  └─ Long term Borrowings,4.71,4.24,16.26,0.01,0.44
  └─ Short term Borrowings,8.56,13.61,27.71,13.19,17.08
  └─ Lease Liabilities,0.00,0.60,0.44,1.83,1.26
  └─ Other Borrowings,4.00,3.40,1.41,0.03,
Other Liabilities,4.91,5.00,8.25,4.91,7.11
  └─ Trade Payables,3.82,2.96,4.78,1.74,4.60
  └─ Advance from Customers,0.00,0.47,0.73,0.99,
  └─ Other liability items,1.09,1.57,2.74,2.18,2.51
Total Liabilities,40.59,49.24,74.36,56.69,88.94
Fixed Assets,11.16,11.30,21.89,10.28,16.99
  └─ Land,1.56,1.56,11.03,0.74,
  └─ Building,3.59,3.70,3.75,3.25,
  └─ Plant Machinery,12.58,13.12,14.03,14.50,
  └─ Equipments,0.30,0.37,0.42,0.42,
  └─ Computers,0.46,0.50,0.52,0.55,
  └─ Furniture n fittings,1.22,1.19,1.20,1.21,
  └─ Vehicles,0.43,0.43,0.43,0.44,
  └─ Intangible Assets,0.00,0.00,1.25,0.00,0.00
  └─ Other fixed assets,0.00,0.51,0.35,1.81,
  └─ Gross Block,20.14,21.38,32.98,22.92,
  └─ Accumulated Depreciation,8.98,10.08,11.09,12.64,
CWIP,0.00,0.00,1.00,0.00,0.00
Investments,0.00,0.00,0.00,5.46,2.49
Other Assets,29.43,37.94,51.47,40.95,69.46
  └─ Inventories,14.55,15.60,13.90,8.46,15.47
  └─ Trade receivables,6.07,5.82,10.83,5.15,6.20
  └─ Cash Equivalents,0.26,3.34,0.64,0.22,0.25
  └─ Loans n Advances,2.18,2.08,3.99,4.78,0.69
  └─ Other asset items,6.37,11.10,22.11,22.34,46.85
Total Assets,40.59,49.24,74.36,56.69,88.94
