Metric,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2016,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2008
Equity Capital,48.51,48.51,48.51,48.67,48.89,48.89,48.89,48.91,48.98,48.98,48.98,48.98,
Reserves,-59.83,4.94,94.51,153.94,149.06,47.59,8.50,117.19,187.00,200.52,200.38,192.03,
Borrowings,570.50,456.43,305.82,217.69,192.69,169.69,176.11,31.19,22.86,30.10,29.80,105.57,
  └─ Long term Borrowings,,,131,48,23,0,7,21,21,22,22,96,
  └─ Short term Borrowings,,,5,0,0,0,0,10,2,9,8,10,
  └─ Preference Capital,251,181,170,170,170,170,170,20,20,20,20,0,
  └─ Other Borrowings,319,275,0,0,0,0,0,-20,-20,-20,-20,,
Other Liabilities,104.48,111.73,77.71,67.75,220.52,281.74,55.68,339.03,340.41,336.76,333.73,367.08,
  └─ Non controlling int,0,18,18,17,142,177,0,135,135,135,134,134,
  └─ Trade Payables,83,72,19,19,16,32,11,18,19,19,23,24,
  └─ Advance from Customers,0,0,0,0,0,0,0,1,0,0,0,,
  └─ Other liability items,21,21,41,31,63,73,45,186,186,183,176,209,
Total Liabilities,663.66,621.61,526.55,488.05,611.16,547.91,289.18,536.32,599.25,616.36,612.89,713.66,
Fixed Assets,145.17,113.67,72.11,26.69,31.96,37.98,11.61,55.57,58.16,59.61,61.10,59.31,
  └─ Land,33.90,31.12,10.54,5.78,16.90,16.99,2.78,12.32,12.32,12.28,12.28,,
  └─ Building,47.30,38.41,38.39,28.48,20.21,20.03,17.53,6.82,10.28,7.27,2.59,,
  └─ Plant Machinery,215.87,164.84,131.29,9.46,10.11,10.17,8.54,25.84,26.68,24.97,29.48,,
  └─ Equipments,13.53,13.38,13.39,23.04,13.44,13.45,13.24,0.00,0.00,0.00,0.00,,
  └─ Computers,10.41,9.56,9.66,0.00,9.87,9.98,8.88,9.14,9.14,0.56,0.60,,
  └─ Furniture n fittings,18.48,17.42,17.42,16.83,16.83,16.43,16.46,16.49,16.47,0.10,1.06,,
  └─ Vehicles,3.52,3.55,3.53,3.55,3.49,3.44,3.42,3.82,3.81,0.87,2.55,,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,8.27,0.00,36.33,36.33,36.33,36.33,23.52,
  └─ Other fixed assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,3.99,4.14,4.14,,
  └─ Gross Block,343.01,278.28,224.22,87.14,90.85,98.76,70.85,114.76,119.02,86.52,89.03,,
  └─ Accumulated Depreciation,197.84,164.61,152.11,60.45,58.88,60.77,59.23,59.19,60.87,26.91,27.93,,
CWIP,18.71,18.90,18.90,18.90,299.50,305.96,-0.00,308.73,308.87,311.68,308.54,308.21,
Investments,137.00,137.46,137.46,115.87,-0.00,0.19,8.84,59.45,124.28,124.28,124.28,124.28,
Other Assets,362.78,351.58,298.08,326.59,279.70,203.78,268.73,112.57,107.94,120.79,118.97,221.86,
  └─ Inventories,10,10,8,9,8,21,5,6,4,5,5,9,
  └─ Trade receivables,12,16,18,13,18,27,116,13,14,21,24,25,
    └─ Receivables over 6m,13.86,3.23,17.90,0.41,0.32,0.93,1.03,0.00,5.03,5.99,5.81,,13.07
    └─ Receivables under 6m,11.24,15.19,0.00,12.95,18.24,25.95,115.05,14.83,10.55,17.23,19.92,,29.35
    └─ Prov for Doubtful,-12.66,-2.63,-0.15,-0.41,-0.17,-0.12,-0.12,-1.78,-1.70,-1.84,-1.84,,-11.97
  └─ Cash Equivalents,21,8,4,6,7,34,3,1,2,9,2,3,
  └─ Loans n Advances,-29,-29,5,5,5,7,6,8,9,8,11,31,
  └─ Other asset items,348,347,262,293,241,114,139,85,79,77,78,154,
Total Assets,663.66,621.61,526.55,488.05,611.16,547.91,289.18,536.32,599.25,616.36,612.89,713.66,
