Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,23,23,23,27,27,27,27,27,27,27,27,27,
Reserves,742,812,897,1656,1915,1928,1915,1995,2192,2491,2638,2225,
Borrowings,337,243,221,2,0,0,35,45,68,52,35,49,
  └─ Long term Borrowings,223.92,192.79,24.23,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Short term Borrowings,27.70,10.43,36.79,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,0.00,35.28,45.33,67.51,51.51,34.53,48.98,
  └─ Other Borrowings,85.55,39.56,159.98,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Other Liabilities,116,117,116,299,129,168,165,210,250,286,224,273,
  └─ Non controlling int,24,27,16,14,8,3,1,1,2,0,0,0,
  └─ Trade Payables,17,15,13,15,12,19,19,15,29,35,23,23,
  └─ Advance from Customers,0,2,3,5,1,0,0,0,4,0,0,,
  └─ Other liability items,74,73,84,265,107,146,145,193,215,250,201,250,
Total Liabilities,1218,1195,1257,1984,2071,2123,2142,2276,2536,2855,2923,2574,
Fixed Assets,854,861,852,1224,1229,1286,1242,1197,1211,1291,981,1037,
  └─ Land,68,67,66,192,204,211,209,188,187,310,310,,
  └─ Building,399,398,400,400,411,418,418,424,427,423,421,,
  └─ Plant Machinery,112,112,116,118,125,137,139,140,142,135,134,,
  └─ Ships Vessels,143,144,145,145,146,0,0,0,0,0,0,,
  └─ Equipments,6,0,0,0,0,0,0,0,0,0,0,,
  └─ Computers,6,6,7,9,10,10,11,11,12,12,8,,
  └─ Furniture n fittings,79,80,84,85,87,93,95,94,95,94,93,,
  └─ Vehicles,30,7,7,10,10,12,11,13,15,15,16,,
  └─ Intangible Assets,60,130,137,398,400,400,400,391,391,391,129,129,
  └─ Other fixed assets,31,36,34,45,52,265,271,301,361,363,333,,
  └─ Gross Block,934,981,995,1403,1444,1546,1554,1562,1629,1742,1443,,
  └─ Accumulated Depreciation,80,120,143,180,214,260,312,365,419,451,462,,
CWIP,4,3,1,4,13,7,6,7,22,179,279,468,
Investments,108,83,98,422,445,505,560,638,560,665,667,233,
Other Assets,252,249,307,334,383,325,334,435,744,721,996,836,
  └─ Inventories,70,71,70,70,96,107,116,145,193,19,19,19,
  └─ Trade receivables,23,14,4,8,7,0,4,3,5,10,5,4,
    └─ Receivables over 6m,4.71,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,5.73,0.25,,4.37
    └─ Receivables under 6m,18.13,14.20,4.25,8.29,7.06,0.62,3.86,3.18,5.20,4.80,5.38,,63.08
    └─ Prov for Doubtful,-0.08,0.00,0.00,0.00,-0.11,-0.13,-0.19,-0.20,-0.04,-0.29,-0.28,,-0.08
  └─ Cash Equivalents,21,23,31,123,74,96,64,103,129,131,91,77,
  └─ Loans n Advances,19,35,46,8,106,5,4,11,104,130,122,87,
  └─ Other asset items,120,106,155,124,101,117,147,173,313,431,759,648,
Total Assets,1218,1195,1257,1984,2071,2123,2142,2276,2536,2855,2923,2574,
