Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,127,127,127,127,127,127,127,127,127
Reserves,1669,2019,2437,2731,3231,3393,3562,3823,4034
Borrowings,-0,-0,-0,51,134,112,231,284,71
  └─ Lease Liabilities,0,0,0,51,134,112,231,284,71
Other Liabilities,1429,1566,1837,2139,2142,2268,2165,2489,3153
  └─ Non controlling int,0,0,0,0,143,148,155,41,0
  └─ Trade Payables,1153,1236,1429,1655,1482,1641,1378,1700,1873
  └─ Other liability items,276,330,408,484,518,480,632,748,1279
Total Liabilities,3226,3712,4400,5048,5634,5900,6084,6723,7384
Fixed Assets,446,508,709,707,1803,1917,1932,1913,1960
  └─ Land,17,17,17,17,17,19,19,19,
  └─ Building,75,85,173,221,357,405,530,596,
  └─ Plant Machinery,540,673,864,920,983,1193,1237,1291,
  └─ Equipments,65,85,95,106,125,137,142,148,
  └─ Furniture n fittings,3,3,4,5,31,38,43,47,
  └─ Vehicles,0,0,0,0,3,3,3,3,
  └─ Intangible Assets,0,0,0,0,748,748,748,748,946
  └─ Other fixed assets,10,11,13,21,279,284,285,285,
  └─ Gross Block,711,874,1167,1290,2543,2826,3006,3135,
  └─ Accumulated Depreciation,266,366,458,583,740,909,1074,1222,
CWIP,33,43,44,41,76,20,21,49,203
Investments,456,659,567,207,-0,-0,-0,-0,-0
Other Assets,2291,2501,3080,4093,3754,3963,4131,4761,5221
  └─ Inventories,810,889,1166,1274,1311,1508,1247,1326,1509
  └─ Trade receivables,240,256,322,379,430,433,340,510,740
  └─ Cash Equivalents,982,1061,1284,2063,1616,1681,2235,2560,2553
  └─ Loans n Advances,-3,-32,0,-26,-26,-16,47,43,29
  └─ Other asset items,261,328,309,403,422,356,262,322,391
Total Assets,3226,3712,4400,5048,5634,5900,6084,6723,7384
