Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,41,41,41,41,41,41,41,41,41,41,49
Reserves,2,-2,-7,-14,-23,-30,-33,-35,-35,-23,-3
Borrowings,47,55,57,63,68,75,84,89,97,96,96
  └─ Long term Borrowings,41,49,51,57,62,67,78,81,86,84,79
  └─ Short term Borrowings,6,6,6,6,7,8,6,8,11,12,18
  └─ Other Borrowings,0,0,0,0,-0,0,0,0,0,0,
Other Liabilities,1,2,2,2,4,2,4,5,7,8,9
  └─ Trade Payables,0.22,0.99,1.45,1.42,3.71,1.38,3.63,4.20,6.75,7.58,6.82
  └─ Other liability items,0.67,0.67,0.61,0.69,0.26,0.62,0.36,0.49,0.64,0.77,1.84
Total Liabilities,91,96,92,92,90,88,96,100,110,122,151
Fixed Assets,79,79,75,72,68,65,67,66,63,74,87
  └─ Land,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,5.48,9.83,
  └─ Building,19.65,22.65,22.65,22.65,7.12,7.18,7.42,7.98,8.32,8.68,
  └─ Plant Machinery,69.64,69.64,69.83,71.56,87.37,86.73,89.72,92.77,94.64,106.40,
  └─ Computers,0.21,0.22,0.24,0.24,0.24,0.31,0.35,0.42,0.47,0.49,
  └─ Furniture n fittings,0.27,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.84,0.84,
  └─ Intangible Assets,0.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
  └─ Other fixed assets,0.00,-0.01,0.00,-0.01,-0.01,-0.01,3.48,3.32,3.36,3.36,
  └─ Gross Block,95.25,98.92,99.14,100.86,101.14,100.63,107.39,110.91,113.22,129.71,
  └─ Accumulated Depreciation,15.95,19.98,24.37,28.81,33.21,35.81,40.27,45.10,50.10,55.81,
CWIP,0,0,0,0,0,0,0,0,9,0,0
Investments,2,2,2,2,2,2,2,2,1,1,1
Other Assets,10,15,16,18,21,21,27,32,36,48,63
  └─ Inventories,1.95,2.80,3.15,3.37,3.85,1.59,3.59,4.97,7.76,9.26,14.18
  └─ Trade receivables,1.69,3.49,2.66,2.63,3.14,4.59,6.22,9.73,10.83,11.63,13.41
    └─ Receivables over 6m,0.00,0.00,0.00,0.18,0.14,0.00,0.50,1.27,1.16,0.83,
    └─ Receivables under 6m,1.69,3.49,2.66,2.45,2.99,4.59,5.72,8.47,9.67,10.80,
  └─ Cash Equivalents,0.16,0.09,0.25,0.22,0.17,-1.00,0.11,0.11,0.09,0.49,0.09
  └─ Loans n Advances,0.00,0.20,1.66,1.47,0.85,0.62,0.40,0.38,0.14,0.60,4.41
  └─ Other asset items,6.30,8.24,8.24,10.47,12.77,15.40,16.20,16.86,17.44,25.60,31.21
Total Assets,91,96,92,92,90,88,96,100,110,122,151
