Metric,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Equity Capital,8,8,8,8,8,8,8,13,13,13,11,11,11
Reserves,35,40,46,58,66,76,131,150,165,169,148,154,166
Borrowings,0,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Long term Borrowings,0.25,0.16,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Short term Borrowings,0.09,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Other Borrowings,0.13,0.12,0.12,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Other Liabilities,28,27,33,43,49,58,30,24,22,20,22,22,23
  └─ Non controlling int,4.97,7.55,11.88,18.01,23.60,29.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00
  └─ Trade Payables,7.24,6.58,6.09,9.01,10.51,12.90,11.88,16.18,16.18,12.19,11.34,12.77,8.44
  └─ Advance from Customers,1.23,0.99,0.00,0.27,0.33,0.29,0.24,0.14,0.07,0.75,0.08,0.19,
  └─ Other liability items,14.16,11.57,15.28,15.55,14.51,15.29,17.43,7.50,5.95,7.08,10.27,9.47,14.36
Total Liabilities,71,75,88,109,123,142,168,187,201,203,180,188,200
Fixed Assets,36,34,36,35,33,41,45,52,52,54,50,49,57
  └─ Land,3.31,3.31,3.31,3.31,3.30,3.30,8.63,8.63,8.63,13.48,13.48,13.48,
  └─ Building,7.50,7.55,7.77,8.73,9.25,10.63,9.95,10.06,11.48,12.09,12.15,12.17,
  └─ Plant Machinery,44.98,44.76,45.35,45.64,45.69,53.62,54.74,64.08,65.40,64.91,65.05,65.88,
  └─ Equipments,1.21,1.17,0.00,0.31,0.36,0.41,0.55,0.64,0.80,0.84,0.85,0.92,
  └─ Computers,0.06,0.00,1.21,0.26,0.30,0.36,0.42,0.47,0.52,0.54,0.56,0.59,
  └─ Furniture n fittings,1.92,1.96,4.62,4.56,4.58,5.47,6.16,6.45,7.15,7.15,7.15,7.28,
  └─ Vehicles,1.64,1.59,1.77,1.83,2.62,2.95,2.39,3.03,3.03,3.03,2.62,2.84,
  └─ Intangible Assets,0.00,0.00,0.35,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
  └─ Other fixed assets,0.43,0.64,0.34,0.35,0.35,0.35,0.38,0.39,0.42,2.02,2.04,2.03,
  └─ Gross Block,61.05,60.98,64.72,65.34,66.45,77.09,83.22,93.75,97.43,104.06,103.90,105.19,
  └─ Accumulated Depreciation,25.30,27.24,29.19,30.34,33.23,35.88,38.20,41.83,45.60,49.92,53.90,56.64,
CWIP,0,0,0,0,9,0,8,1,1,0,0,1,1
Investments,1,10,16,29,36,52,70,86,89,99,74,65,65
Other Assets,34,31,37,45,46,49,45,48,59,50,56,73,77
  └─ Inventories,11.19,7.71,9.15,9.88,10.71,13.40,11.59,13.54,18.71,17.15,12.14,17.93,20.55
  └─ Trade receivables,7.14,8.85,11.06,11.77,11.26,10.65,14.16,17.20,17.90,13.99,15.32,16.63,18.37
  └─ Cash Equivalents,3.99,4.46,2.65,7.31,9.02,8.12,5.55,8.16,14.64,11.66,22.02,24.86,18.85
  └─ Loans n Advances,7.29,3.34,6.17,6.84,5.24,6.28,0.70,0.71,0.53,0.99,0.66,0.53,4.77
  └─ Other asset items,4.56,7.03,7.62,9.16,9.70,10.21,13.07,8.69,6.89,5.86,6.27,12.86,14.68
Total Assets,71,75,88,109,123,142,168,187,201,203,180,188,200
