Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Sep 2019
Equity Capital,0.71,0.70,1,1,16,16,19,19,19
Reserves,14,15,31,32,51,56,72,74,76
Borrowing,0,20,189,164,67,78,67,73,59
Other Liabilities,2,4,81,70,64,71,71,39,24
  └─ Non controlling int,0.00,0.00,7.10,13.46,8.86,7.34,8.43,8.56,5.76
  └─ Trade Payables,1.69,2.41,58.14,32.24,38.08,35.83,28.77,23.61,9.45
  └─ Advance from Customers,0.00,0.00,0.40,1.21,0.89,0.83,0.90,0.00,
  └─ Other liability items,0.36,1.66,15.73,22.59,16.33,27.24,32.61,6.38,8.67
Total Liabilities,16,40,303,267,199,221,229,205,178
Fixed Assets,0,1,24,21,22,29,28,23,24
  └─ Building,0.00,0.00,14.24,10.63,10.73,10.73,2.52,2.71,
  └─ Plant Machinery,0.03,0.11,0.89,1.14,1.09,1.49,1.02,1.08,
  └─ Equipments,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Computers,0.00,1.81,7.84,11.25,19.19,31.89,1.32,1.43,
  └─ Furniture n fittings,0.07,0.41,1.98,1.96,1.90,1.91,1.91,2.31,
  └─ Vehicles,0.00,0.84,0.96,1.34,1.07,0.82,0.82,0.38,
  └─ Intangible Assets,0.00,0.00,1.93,3.50,2.67,1.21,3.80,1.72,0.45
  └─ Other fixed assets,0.00,1.83,1.82,0.98,0.97,0.77,41.36,43.91,
  └─ Gross Block,0.12,5.00,29.66,30.80,37.62,48.82,52.75,53.54,
  └─ Accumulated Depreciation,0.02,4.40,5.57,9.73,15.36,19.98,25.15,30.21,
CWIP,0,0,0,0,0,0,0,7,0
Investments,2,3,1,2,2,0,15,15,16
Other Assets,14,37,277,244,174,192,186,160,138
  └─ Inventories,1,2,84,94,16,30,18,0,0
  └─ Trade receivables,0,0,60,44,22,25,29,27,19
    └─ Receivables over 6m,0.00,0.00,3.50,5.76,1.41,2.39,4.50,5.80,
    └─ Receivables under 6m,0.00,0.07,56.10,37.87,20.96,22.87,24.79,20.91,
  └─ Cash Equivalents,1,3,39,24,36,29,31,43,31
  └─ Loans n Advances,0,0,5,4,2,11,1,1,79
  └─ Other asset items,11,32,90,78,99,96,107,89,9
Total Assets,16,40,303,267,199,221,229,205,178
